OrderID,OrderDate,PromisedDate,WarehouseID,ProductID,Priority,OrderedUnits,ShippedUnits,CompleteDate,UnitPriceUSD,FulfilledByDueMonthUnits,OnTimeFull
114,2024-01-03,2024-01-08,3,6,Standard,6,6,2024-01-05,17.11,6,1
115,2024-01-03,2024-01-08,3,6,Standard,6,6,2024-01-05,17.11,6,1
116,2024-01-04,2024-01-08,1,23,Standard,11,11,2024-01-08,124.05,11,1
117,2024-01-04,2024-01-08,1,28,Standard,12,12,2024-01-08,15.67,12,1
118,2024-01-04,2024-01-08,1,5,Standard,16,16,2024-01-08,8.71,16,1
119,2024-01-04,2024-01-09,1,28,Standard,4,4,2024-01-08,15.67,4,1
120,2024-01-04,2024-01-08,1,9,Standard,8,8,2024-01-08,15.84,8,1
121,2024-01-04,2024-01-08,1,16,Standard,13,13,2024-01-08,34.55,13,1
122,2024-01-04,2024-01-08,1,5,Standard,20,20,2024-01-08,8.71,20,1
123,2024-01-04,2024-01-09,1,14,Expedite,16,16,2024-01-08,93.02,16,1
124,2024-01-04,2024-01-08,1,32,Standard,9,9,2024-01-08,16.37,9,1
125,2024-01-04,2024-01-08,1,30,Expedite,21,21,2024-01-08,46.41,21,1
126,2024-01-04,2024-01-09,1,12,Standard,22,22,2024-01-08,90.85,22,1
127,2024-01-04,2024-01-08,1,19,Expedite,21,21,2024-01-08,21.14,21,1
128,2024-01-04,2024-01-08,1,9,Standard,14,14,2024-01-09,15.84,14,0
129,2024-01-04,2024-01-08,2,4,Standard,3,3,2024-01-08,121.18,3,1
130,2024-01-04,2024-01-09,2,3,Standard,13,13,2024-01-08,52.53,13,1
131,2024-01-04,2024-01-08,2,18,Standard,10,10,2024-01-08,72.43,10,1
132,2024-01-04,2024-01-08,2,32,Standard,12,12,2024-01-08,16.37,12,1
133,2024-01-04,2024-01-08,2,19,Standard,4,4,2024-01-08,21.14,4,1
134,2024-01-04,2024-01-08,2,20,Standard,20,20,2024-01-08,90.67,20,1
135,2024-01-04,2024-01-08,2,30,Expedite,10,10,2024-01-08,46.41,10,1
136,2024-01-04,2024-01-08,2,21,Standard,6,6,2024-01-08,33.14,6,1
137,2024-01-04,2024-01-08,2,18,Standard,9,9,2024-01-08,72.43,9,1
138,2024-01-04,2024-01-08,2,24,Expedite,19,19,2024-01-08,125.75,19,1
139,2024-01-04,2024-01-08,2,7,Standard,3,3,2024-01-08,87.71,3,1
140,2024-01-04,2024-01-08,2,21,Standard,21,21,2024-01-08,33.14,21,1
141,2024-01-04,2024-01-08,2,9,Standard,18,18,2024-01-08,15.84,18,1
142,2024-01-04,2024-01-09,2,25,Standard,6,6,2024-01-08,20.3,6,1
143,2024-01-04,2024-01-09,2,11,Standard,14,14,2024-01-08,82.82,14,1
144,2024-01-04,2024-01-08,3,22,Standard,8,8,2024-01-08,29.06,8,1
145,2024-01-04,2024-01-08,3,22,Standard,4,4,2024-01-08,29.06,4,1
146,2024-01-04,2024-01-09,3,26,Standard,11,11,2024-01-08,86.23,11,1
147,2024-01-04,2024-01-08,3,9,Standard,4,4,2024-01-08,15.84,4,1
148,2024-01-04,2024-01-08,3,27,Standard,13,13,2024-01-08,122.0,13,1
149,2024-01-04,2024-01-08,3,23,Expedite,14,14,2024-01-08,124.05,14,1
150,2024-01-04,2024-01-08,3,29,Standard,5,5,2024-01-08,22.51,5,1
151,2024-01-04,2024-01-08,3,3,Standard,5,5,2024-01-08,52.53,5,1
152,2024-01-04,2024-01-09,3,3,Standard,15,15,2024-01-08,52.53,15,1
153,2024-01-04,2024-01-08,3,1,Standard,6,6,2024-01-08,119.86,6,1
154,2024-01-04,2024-01-08,3,21,Standard,14,14,2024-01-08,33.14,14,1
155,2024-01-04,2024-01-08,3,27,Standard,20,20,2024-01-08,122.0,20,1
156,2024-01-04,2024-01-08,3,18,Standard,8,8,2024-01-08,72.43,8,1
157,2024-01-04,2024-01-09,3,21,Standard,13,13,2024-01-08,33.14,13,1
158,2024-01-04,2024-01-08,3,14,Standard,9,9,2024-01-08,93.02,9,1
159,2024-01-05,2024-01-10,1,8,Standard,4,4,2024-01-09,72.15,4,1
160,2024-01-05,2024-01-08,1,2,Standard,9,9,2024-01-09,91.14,9,0
161,2024-01-05,2024-01-08,1,28,Expedite,16,16,2024-01-09,15.67,16,0
162,2024-01-05,2024-01-08,1,3,Standard,11,11,2024-01-09,52.53,11,0
163,2024-01-05,2024-01-08,1,3,Expedite,7,7,2024-01-09,52.53,7,0
164,2024-01-05,2024-01-10,1,18,Standard,16,16,2024-01-09,72.43,16,1
165,2024-01-05,2024-01-08,1,12,Standard,10,10,2024-01-09,90.85,10,0
166,2024-01-05,2024-01-08,1,32,Standard,4,4,2024-01-09,16.37,4,0
167,2024-01-05,2024-01-08,1,5,Standard,22,22,2024-01-09,8.71,22,0
168,2024-01-05,2024-01-08,1,16,Standard,14,14,2024-01-09,34.55,14,0
169,2024-01-05,2024-01-08,1,7,Standard,4,4,2024-01-09,87.71,4,0
170,2024-01-05,2024-01-08,1,16,Expedite,20,20,2024-01-09,34.55,20,0
171,2024-01-05,2024-01-08,1,21,Standard,9,9,2024-01-09,33.14,9,0
172,2024-01-05,2024-01-10,1,18,Standard,16,16,2024-01-09,72.43,16,1
173,2024-01-05,2024-01-10,1,11,Standard,7,7,2024-01-09,82.82,7,1
174,2024-01-05,2024-01-08,2,17,Standard,12,12,2024-01-09,114.67,12,0
175,2024-01-05,2024-01-08,2,29,Expedite,10,10,2024-01-09,22.51,10,0
176,2024-01-05,2024-01-10,2,29,Standard,13,13,2024-01-09,22.51,13,1
177,2024-01-05,2024-01-08,2,4,Standard,11,11,2024-01-09,121.18,11,0
178,2024-01-05,2024-01-08,2,14,Expedite,15,15,2024-01-09,93.02,15,0
179,2024-01-05,2024-01-08,2,25,Standard,17,17,2024-01-09,20.3,17,0
180,2024-01-05,2024-01-08,2,10,Standard,8,8,2024-01-09,98.47,8,0
181,2024-01-05,2024-01-10,2,28,Standard,20,20,2024-01-09,15.67,20,1
182,2024-01-05,2024-01-08,2,20,Standard,22,22,2024-01-09,90.67,22,0
183,2024-01-05,2024-01-10,2,29,Standard,10,10,2024-01-09,22.51,10,1
184,2024-01-05,2024-01-08,2,8,Standard,18,18,2024-01-09,72.15,18,0
185,2024-01-05,2024-01-08,2,10,Standard,8,8,2024-01-09,98.47,8,0
186,2024-01-05,2024-01-08,2,29,Standard,19,19,2024-01-09,22.51,19,0
187,2024-01-05,2024-01-08,3,15,Standard,17,17,2024-01-09,71.63,17,0
188,2024-01-05,2024-01-08,3,25,Standard,13,13,2024-01-09,20.3,13,0
189,2024-01-05,2024-01-10,3,1,Expedite,6,6,2024-01-09,119.86,6,1
190,2024-01-05,2024-01-08,3,27,Standard,6,6,2024-01-09,122.0,6,0
191,2024-01-05,2024-01-10,3,5,Standard,17,17,2024-01-09,8.71,17,1
192,2024-01-05,2024-01-10,3,25,Standard,3,3,2024-01-09,20.3,3,1
193,2024-01-05,2024-01-10,3,32,Expedite,19,19,2024-01-09,16.37,19,1
194,2024-01-05,2024-01-08,3,8,Standard,19,19,2024-01-09,72.15,19,0
195,2024-01-05,2024-01-08,3,7,Standard,21,21,2024-01-09,87.71,21,0
196,2024-01-05,2024-01-08,3,4,Standard,9,9,2024-01-09,121.18,9,0
197,2024-01-05,2024-01-08,3,31,Standard,17,17,2024-01-09,33.25,17,0
198,2024-01-05,2024-01-10,3,7,Standard,4,4,2024-01-09,87.71,4,1
199,2024-01-05,2024-01-10,3,1,Standard,21,21,2024-01-09,119.86,21,1
200,2024-01-05,2024-01-08,3,3,Standard,17,17,2024-01-10,52.53,17,0
201,2024-01-08,2024-01-15,1,5,Expedite,8,8,2024-01-10,8.71,8,1
202,2024-01-08,2024-01-11,1,25,Standard,15,15,2024-01-10,20.3,15,1
203,2024-01-08,2024-01-11,1,18,Standard,22,22,2024-01-10,72.43,22,1
204,2024-01-08,2024-01-15,1,3,Standard,12,12,2024-01-10,52.53,12,1
205,2024-01-08,2024-01-11,1,11,Standard,11,11,2024-01-10,82.82,11,1
206,2024-01-08,2024-01-11,1,5,Standard,22,22,2024-01-10,8.71,22,1
207,2024-01-08,2024-01-11,1,22,Standard,17,17,2024-01-10,29.06,17,1
208,2024-01-08,2024-01-11,1,1,Standard,15,15,2024-01-10,119.86,15,1
209,2024-01-08,2024-01-11,1,8,Standard,6,6,2024-01-10,72.15,6,1
210,2024-01-08,2024-01-15,1,4,Standard,18,18,2024-01-10,121.18,18,1
211,2024-01-08,2024-01-15,1,23,Standard,19,19,2024-01-10,124.05,19,1
212,2024-01-08,2024-01-15,1,9,Standard,21,21,2024-01-10,15.84,21,1
213,2024-01-08,2024-01-11,2,17,Expedite,21,21,2024-01-10,114.67,21,1
214,2024-01-08,2024-01-11,2,5,Standard,3,3,2024-01-10,8.71,3,1
215,2024-01-08,2024-01-11,2,24,Standard,15,15,2024-01-10,125.75,15,1
216,2024-01-08,2024-01-15,2,10,Standard,20,20,2024-01-10,98.47,20,1
217,2024-01-08,2024-01-15,2,24,Expedite,10,10,2024-01-10,125.75,10,1
218,2024-01-08,2024-01-15,2,21,Expedite,8,8,2024-01-10,33.14,8,1
219,2024-01-08,2024-01-11,2,28,Standard,5,5,2024-01-10,15.67,5,1
220,2024-01-08,2024-01-11,2,29,Standard,5,5,2024-01-10,22.51,5,1
221,2024-01-08,2024-01-15,2,16,Standard,3,3,2024-01-10,34.55,3,1
222,2024-01-08,2024-01-15,2,26,Standard,15,15,2024-01-10,86.23,15,1
223,2024-01-08,2024-01-11,2,19,Standard,14,14,2024-01-10,21.14,14,1
224,2024-01-08,2024-01-11,2,8,Standard,15,15,2024-01-10,72.15,15,1
225,2024-01-08,2024-01-11,2,2,Standard,13,13,2024-01-10,91.14,13,1
226,2024-01-08,2024-01-11,3,9,Standard,11,11,2024-01-10,15.84,11,1
227,2024-01-08,2024-01-11,3,19,Standard,18,18,2024-01-10,21.14,18,1
228,2024-01-08,2024-01-11,3,16,Standard,14,14,2024-01-10,34.55,14,1
229,2024-01-08,2024-01-15,3,25,Expedite,17,17,2024-01-10,20.3,17,1
230,2024-01-08,2024-01-15,3,27,Standard,13,13,2024-01-10,122.0,13,1
231,2024-01-08,2024-01-11,3,25,Standard,19,19,2024-01-10,20.3,19,1
232,2024-01-08,2024-01-11,3,31,Standard,4,4,2024-01-10,33.25,4,1
233,2024-01-08,2024-01-11,3,17,Standard,9,9,2024-01-10,114.67,9,1
234,2024-01-08,2024-01-15,3,12,Standard,15,15,2024-01-10,90.85,15,1
235,2024-01-08,2024-01-15,3,29,Standard,22,22,2024-01-10,22.51,22,1
236,2024-01-08,2024-01-15,3,1,Standard,6,6,2024-01-10,119.86,6,1
237,2024-01-08,2024-01-11,3,12,Standard,19,19,2024-01-10,90.85,19,1
238,2024-01-08,2024-01-15,3,23,Standard,3,3,2024-01-10,124.05,3,1
239,2024-01-09,2024-01-12,1,31,Standard,11,11,2024-01-11,33.25,11,1
240,2024-01-09,2024-01-12,1,32,Standard,20,20,2024-01-11,16.37,20,1
241,2024-01-09,2024-01-12,1,25,Standard,21,21,2024-01-11,20.3,21,1
242,2024-01-09,2024-01-12,1,13,Standard,17,17,2024-01-11,113.46,17,1
243,2024-01-09,2024-01-15,1,26,Standard,7,7,2024-01-11,86.23,7,1
244,2024-01-09,2024-01-12,1,6,Standard,5,5,2024-01-11,17.11,5,1
245,2024-01-09,2024-01-12,1,16,Standard,20,20,2024-01-11,34.55,20,1
246,2024-01-09,2024-01-12,1,28,Expedite,14,14,2024-01-11,15.67,14,1
247,2024-01-09,2024-01-12,1,12,Standard,21,21,2024-01-11,90.85,21,1
248,2024-01-09,2024-01-12,1,25,Standard,12,12,2024-01-11,20.3,12,1
249,2024-01-09,2024-01-15,1,4,Standard,12,12,2024-01-11,121.18,12,1
250,2024-01-09,2024-01-15,1,19,Expedite,22,22,2024-01-11,21.14,22,1
251,2024-01-09,2024-01-12,2,17,Standard,12,12,2024-01-11,114.67,12,1
252,2024-01-09,2024-01-12,2,18,Standard,8,8,2024-01-11,72.43,8,1
253,2024-01-09,2024-01-15,2,10,Standard,17,17,2024-01-11,98.47,17,1
254,2024-01-09,2024-01-15,2,31,Standard,6,6,2024-01-11,33.25,6,1
255,2024-01-09,2024-01-12,2,5,Standard,8,8,2024-01-11,8.71,8,1
256,2024-01-09,2024-01-15,2,18,Standard,18,18,2024-01-11,72.43,18,1
257,2024-01-09,2024-01-12,2,10,Standard,15,15,2024-01-11,98.47,15,1
258,2024-01-09,2024-01-15,2,4,Standard,18,18,2024-01-11,121.18,18,1
259,2024-01-09,2024-01-12,2,11,Standard,11,11,2024-01-11,82.82,11,1
260,2024-01-09,2024-01-12,2,7,Expedite,15,15,2024-01-11,87.71,15,1
261,2024-01-09,2024-01-12,2,16,Standard,17,17,2024-01-11,34.55,17,1
262,2024-01-09,2024-01-15,2,30,Standard,14,14,2024-01-11,46.41,14,1
263,2024-01-09,2024-01-15,2,25,Standard,4,4,2024-01-11,20.3,4,1
264,2024-01-09,2024-01-12,2,10,Standard,8,8,2024-01-11,98.47,8,1
265,2024-01-09,2024-01-12,2,16,Expedite,22,22,2024-01-11,34.55,22,1
266,2024-01-09,2024-01-15,3,7,Expedite,15,15,2024-01-11,87.71,15,1
267,2024-01-09,2024-01-12,3,3,Expedite,13,13,2024-01-11,52.53,13,1
268,2024-01-09,2024-01-12,3,11,Expedite,8,8,2024-01-11,82.82,8,1
269,2024-01-09,2024-01-12,3,9,Standard,5,5,2024-01-11,15.84,5,1
270,2024-01-09,2024-01-12,3,2,Standard,8,8,2024-01-11,91.14,8,1
271,2024-01-09,2024-01-12,3,21,Standard,21,21,2024-01-11,33.14,21,1
272,2024-01-09,2024-01-12,3,3,Standard,4,4,2024-01-11,52.53,4,1
273,2024-01-09,2024-01-15,3,2,Standard,9,9,2024-01-11,91.14,9,1
274,2024-01-09,2024-01-12,3,13,Standard,9,9,2024-01-11,113.46,9,1
275,2024-01-09,2024-01-12,3,16,Standard,9,9,2024-01-11,34.55,9,1
276,2024-01-09,2024-01-12,3,10,Expedite,8,8,2024-01-11,98.47,8,1
277,2024-01-09,2024-01-15,3,8,Standard,12,12,2024-01-11,72.15,12,1
278,2024-01-09,2024-01-12,3,14,Standard,18,18,2024-01-11,93.02,18,1
279,2024-01-10,2024-01-15,1,9,Standard,9,9,2024-01-12,15.84,9,1
280,2024-01-10,2024-01-15,1,25,Standard,8,8,2024-01-12,20.3,8,1
281,2024-01-10,2024-01-15,1,13,Expedite,5,5,2024-01-12,113.46,5,1
282,2024-01-10,2024-01-15,1,18,Standard,7,7,2024-01-12,72.43,7,1
283,2024-01-10,2024-01-15,1,4,Standard,16,16,2024-01-12,121.18,16,1
284,2024-01-10,2024-01-15,1,2,Expedite,14,14,2024-01-12,91.14,14,1
285,2024-01-10,2024-01-15,1,4,Standard,18,18,2024-01-12,121.18,18,1
286,2024-01-10,2024-01-15,1,12,Expedite,13,13,2024-01-12,90.85,13,1
287,2024-01-10,2024-01-15,1,12,Standard,14,14,2024-01-12,90.85,14,1
288,2024-01-10,2024-01-15,1,23,Standard,3,3,2024-01-12,124.05,3,1
289,2024-01-10,2024-01-15,1,30,Standard,20,20,2024-01-12,46.41,20,1
290,2024-01-10,2024-01-15,2,30,Standard,14,14,2024-01-12,46.41,14,1
291,2024-01-10,2024-01-15,2,4,Expedite,4,4,2024-01-12,121.18,4,1
292,2024-01-10,2024-01-15,2,23,Standard,8,8,2024-01-12,124.05,8,1
293,2024-01-10,2024-01-15,2,21,Expedite,19,19,2024-01-12,33.14,19,1
294,2024-01-10,2024-01-15,2,13,Standard,3,3,2024-01-12,113.46,3,1
295,2024-01-10,2024-01-15,2,25,Expedite,3,3,2024-01-12,20.3,3,1
296,2024-01-10,2024-01-15,2,28,Standard,3,3,2024-01-12,15.67,3,1
297,2024-01-10,2024-01-15,2,25,Standard,13,13,2024-01-12,20.3,13,1
298,2024-01-10,2024-01-15,2,22,Standard,10,10,2024-01-12,29.06,10,1
299,2024-01-10,2024-01-15,2,24,Expedite,20,20,2024-01-12,125.75,20,1
300,2024-01-10,2024-01-15,2,32,Standard,18,18,2024-01-12,16.37,18,1
301,2024-01-10,2024-01-15,3,20,Standard,22,22,2024-01-12,90.67,22,1
302,2024-01-10,2024-01-15,3,31,Standard,14,14,2024-01-12,33.25,14,1
303,2024-01-10,2024-01-15,3,2,Standard,10,10,2024-01-12,91.14,10,1
304,2024-01-10,2024-01-15,3,23,Standard,22,22,2024-01-12,124.05,22,1
305,2024-01-10,2024-01-15,3,9,Standard,14,14,2024-01-12,15.84,14,1
306,2024-01-10,2024-01-15,3,32,Standard,15,15,2024-01-12,16.37,15,1
307,2024-01-10,2024-01-15,3,4,Standard,12,12,2024-01-12,121.18,12,1
308,2024-01-10,2024-01-15,3,21,Standard,7,7,2024-01-12,33.14,7,1
309,2024-01-10,2024-01-15,3,3,Standard,9,9,2024-01-12,52.53,9,1
310,2024-01-10,2024-01-15,3,23,Standard,3,3,2024-01-12,124.05,3,1
311,2024-01-10,2024-01-15,3,27,Standard,15,15,2024-01-12,122.0,15,1
312,2024-01-11,2024-01-16,1,3,Standard,16,16,2024-01-15,52.53,16,1
313,2024-01-11,2024-01-16,1,28,Standard,18,18,2024-01-15,15.67,18,1
314,2024-01-11,2024-01-15,1,32,Standard,8,8,2024-01-15,16.37,8,1
315,2024-01-11,2024-01-15,1,8,Standard,15,15,2024-01-15,72.15,15,1
316,2024-01-11,2024-01-15,1,22,Standard,12,12,2024-01-15,29.06,12,1
317,2024-01-11,2024-01-15,1,5,Standard,3,3,2024-01-15,8.71,3,1
318,2024-01-11,2024-01-15,1,31,Standard,11,11,2024-01-15,33.25,11,1
319,2024-01-11,2024-01-15,1,15,Standard,17,17,2024-01-15,71.63,17,1
320,2024-01-11,2024-01-15,1,23,Standard,18,18,2024-01-15,124.05,18,1
