PurchaseID,OrderDate,PromisedDate,WarehouseID,ProductID,SupplierID,OrderedUnits,ReceivedUnits,ReceiptDate,OnTimeFull
84,2024-02-12,2024-02-21,3,15,4,160,160,2024-02-21,1
85,2024-02-12,2024-03-13,3,24,5,132,132,2024-03-15,0
86,2024-02-13,2024-02-29,3,8,3,148,148,2024-02-29,1
87,2024-02-13,2024-03-14,3,23,5,154,154,2024-03-18,0
88,2024-02-14,2024-03-01,1,8,3,128,128,2024-03-04,0
89,2024-02-14,2024-02-22,3,29,6,148,148,2024-02-26,0
90,2024-02-15,2024-03-18,1,20,5,153,153,2024-03-18,1
91,2024-02-15,2024-03-18,2,18,5,157,157,2024-03-25,0
92,2024-02-15,2024-02-23,2,27,6,143,143,2024-02-23,1
93,2024-02-16,2024-02-26,1,4,2,146,146,2024-03-04,0
94,2024-02-16,2024-03-18,1,17,5,141,141,2024-03-25,0
95,2024-02-16,2024-03-04,3,5,3,152,152,2024-03-04,1
96,2024-02-16,2024-02-26,3,10,2,145,145,2024-02-28,0
97,2024-02-19,2024-02-26,1,7,1,141,141,2024-02-26,1
98,2024-02-20,2024-02-28,2,32,6,138,138,2024-02-28,1
99,2024-02-20,2024-03-07,3,3,3,158,158,2024-03-11,0
100,2024-02-20,2024-02-27,3,19,1,144,144,2024-02-27,1
101,2024-02-21,2024-03-22,1,23,5,143,143,2024-03-25,0
102,2024-02-21,2024-02-29,1,29,6,180,180,2024-03-04,0
103,2024-02-21,2024-03-08,2,5,3,148,148,2024-03-08,1
104,2024-02-21,2024-02-28,3,25,1,142,142,2024-02-28,1
105,2024-02-22,2024-03-01,1,30,6,145,145,2024-03-01,1
106,2024-02-22,2024-02-29,2,7,1,146,146,2024-02-29,1
107,2024-02-22,2024-02-29,2,25,1,143,143,2024-03-04,0
108,2024-02-22,2024-03-01,2,26,6,145,145,2024-03-01,1
109,2024-02-22,2024-03-04,3,12,4,141,141,2024-03-04,1
110,2024-02-22,2024-03-01,3,32,6,132,132,2024-03-01,1
111,2024-02-23,2024-03-04,1,16,2,138,138,2024-03-04,1
112,2024-02-23,2024-03-04,2,11,4,150,150,2024-03-18,0
113,2024-02-23,2024-03-04,2,12,4,151,151,2024-03-04,1
114,2024-02-23,2024-03-25,2,23,5,154,154,2024-03-25,1
115,2024-02-23,2024-03-04,3,11,4,151,151,2024-03-04,1
116,2024-02-23,2024-03-25,3,21,5,162,162,2024-03-25,1
117,2024-02-26,2024-03-27,1,21,5,159,159,2024-03-27,1
118,2024-02-26,2024-03-05,1,32,6,126,126,2024-03-05,1
119,2024-02-26,2024-03-27,3,20,5,145,145,2024-04-08,0
120,2024-02-27,2024-03-14,1,2,3,143,143,2024-03-14,1
121,2024-02-27,2024-03-07,1,15,4,146,146,2024-03-07,1
122,2024-02-28,2024-03-11,2,10,2,149,149,2024-03-11,1
123,2024-02-28,2024-03-07,2,30,6,143,143,2024-03-07,1
124,2024-02-28,2024-03-06,3,7,1,144,144,2024-03-06,1
125,2024-02-29,2024-03-11,1,14,4,142,142,2024-03-11,1
126,2024-02-29,2024-03-18,2,3,3,143,143,2024-03-18,1
127,2024-03-01,2024-03-08,1,25,1,151,151,2024-03-08,1
128,2024-03-01,2024-03-08,1,31,1,160,160,2024-03-08,1
129,2024-03-01,2024-04-01,3,17,5,151,151,2024-04-01,1
130,2024-03-01,2024-03-11,3,27,6,152,152,2024-03-11,1
131,2024-03-04,2024-03-20,1,6,3,154,154,2024-03-20,1
132,2024-03-04,2024-03-13,1,12,4,163,163,2024-03-13,1
133,2024-03-04,2024-03-20,2,6,3,151,151,2024-03-20,1
134,2024-03-05,2024-03-21,1,3,3,154,154,2024-04-02,0
135,2024-03-05,2024-03-14,1,11,4,143,143,2024-03-14,1
136,2024-03-05,2024-04-04,1,24,5,144,144,2024-04-04,1
137,2024-03-05,2024-03-12,2,1,1,157,157,2024-03-25,0
138,2024-03-06,2024-04-05,2,21,5,147,147,2024-04-05,1
139,2024-03-06,2024-04-05,2,24,5,122,122,2024-04-17,0
140,2024-03-06,2024-03-18,3,16,2,124,124,2024-03-18,1
141,2024-03-07,2024-03-15,2,29,6,149,149,2024-03-20,0
142,2024-03-07,2024-04-08,3,18,5,157,157,2024-04-08,1
143,2024-03-08,2024-03-18,2,16,2,130,130,2024-03-18,1
144,2024-03-08,2024-04-08,2,20,5,167,167,2024-04-08,1
145,2024-03-08,2024-03-15,2,31,1,146,146,2024-03-18,0
146,2024-03-11,2024-03-20,1,9,4,149,149,2024-03-20,1
147,2024-03-11,2024-03-21,2,4,2,148,148,2024-03-21,1
148,2024-03-11,2024-03-18,2,13,1,145,145,2024-03-18,1
149,2024-03-11,2024-03-21,2,22,2,144,144,2024-03-21,1
150,2024-03-12,2024-03-28,1,8,3,138,138,2024-03-28,1
151,2024-03-12,2024-03-22,1,10,2,153,153,2024-03-22,1
152,2024-03-12,2024-03-28,3,2,3,144,144,2024-04-01,0
153,2024-03-12,2024-03-22,3,4,2,149,149,2024-03-22,1
154,2024-03-13,2024-03-22,2,14,4,149,149,2024-03-22,1
155,2024-03-13,2024-03-20,2,19,1,141,141,2024-03-20,1
156,2024-03-14,2024-03-21,1,19,1,145,145,2024-03-26,0
157,2024-03-14,2024-04-01,2,2,3,147,147,2024-04-01,1
158,2024-03-14,2024-03-25,2,28,2,174,174,2024-03-25,1
159,2024-03-14,2024-04-01,3,8,3,122,122,2024-04-01,1
160,2024-03-14,2024-04-15,3,24,5,130,130,2024-04-17,0
161,2024-03-15,2024-03-22,1,13,1,154,154,2024-03-22,1
162,2024-03-15,2024-03-25,2,15,4,156,156,2024-03-25,1
163,2024-03-15,2024-03-22,3,1,1,166,166,2024-03-22,1
164,2024-03-15,2024-03-25,3,30,6,152,152,2024-03-25,1
165,2024-03-18,2024-03-28,1,4,2,149,149,2024-03-28,1
166,2024-03-18,2024-03-26,1,27,6,150,150,2024-03-26,1
167,2024-03-18,2024-03-28,1,28,2,147,147,2024-03-28,1
168,2024-03-18,2024-03-26,2,32,6,134,134,2024-03-26,1
169,2024-03-19,2024-03-26,1,1,1,160,160,2024-03-26,1
170,2024-03-19,2024-04-18,2,18,5,157,157,2024-04-18,1
171,2024-03-19,2024-03-26,2,25,1,151,151,2024-03-26,1
172,2024-03-19,2024-04-04,3,6,3,141,141,2024-04-08,0
173,2024-03-19,2024-03-29,3,10,2,147,147,2024-04-01,0
174,2024-03-19,2024-03-28,3,15,4,155,155,2024-04-02,0
175,2024-03-21,2024-04-08,2,8,3,156,156,2024-04-08,1
176,2024-03-21,2024-03-29,2,26,6,144,144,2024-03-29,1
177,2024-03-21,2024-03-28,3,13,1,151,151,2024-04-09,0
178,2024-03-22,2024-04-22,3,23,5,149,149,2024-04-22,1
179,2024-03-25,2024-04-24,3,21,5,156,156,2024-04-24,1
180,2024-03-25,2024-04-02,3,26,6,155,155,2024-04-15,0
181,2024-03-26,2024-04-04,2,12,4,144,144,2024-04-09,0
182,2024-03-26,2024-04-03,2,30,6,152,152,2024-04-03,1
183,2024-03-26,2024-04-04,3,12,4,142,142,2024-04-08,0
184,2024-03-26,2024-04-03,3,29,6,155,155,2024-04-05,0
185,2024-03-27,2024-04-12,1,5,3,146,146,2024-04-15,0
186,2024-03-27,2024-04-26,1,20,5,143,143,2024-05-08,0
187,2024-03-27,2024-04-26,1,24,5,132,132,2024-04-26,1
188,2024-03-27,2024-04-05,3,9,4,145,145,2024-04-10,0
189,2024-03-28,2024-04-15,1,2,3,154,154,2024-04-15,1
190,2024-03-28,2024-04-05,1,32,6,136,136,2024-04-05,1
191,2024-03-28,2024-04-15,2,5,3,151,151,2024-04-22,0
192,2024-03-28,2024-04-08,3,11,4,143,143,2024-04-22,0
193,2024-03-28,2024-04-08,3,22,2,153,153,2024-04-15,0
194,2024-03-28,2024-04-05,3,32,6,128,128,2024-04-05,1
195,2024-03-29,2024-04-08,3,28,2,161,161,2024-04-22,0
196,2024-04-01,2024-04-09,1,26,6,147,147,2024-04-15,0
197,2024-04-01,2024-04-10,2,11,4,156,156,2024-04-10,1
198,2024-04-02,2024-04-10,1,29,6,147,147,2024-04-10,1
199,2024-04-02,2024-04-18,3,3,3,150,150,2024-04-18,1
200,2024-04-03,2024-05-03,1,23,5,153,153,2024-05-03,1
201,2024-04-03,2024-04-10,2,1,1,150,150,2024-04-12,0
202,2024-04-03,2024-04-15,3,16,2,126,126,2024-04-17,0
203,2024-04-04,2024-05-06,2,17,5,147,147,2024-05-08,0
204,2024-04-04,2024-04-12,2,29,6,166,166,2024-04-12,1
205,2024-04-04,2024-04-22,3,5,3,144,144,2024-04-24,0
206,2024-04-04,2024-04-11,3,19,1,141,141,2024-04-11,1
207,2024-04-04,2024-04-12,3,27,6,144,144,2024-04-15,0
208,2024-04-05,2024-04-22,1,6,3,152,152,2024-04-29,0
209,2024-04-05,2024-05-06,1,18,5,153,153,2024-05-08,0
210,2024-04-05,2024-04-12,1,25,1,153,153,2024-04-15,0
211,2024-04-08,2024-04-17,2,9,4,169,169,2024-04-29,0
212,2024-04-08,2024-04-24,3,8,3,134,134,2024-04-24,1
213,2024-04-08,2024-05-08,3,24,5,130,130,2024-05-08,1
214,2024-04-09,2024-04-19,1,22,2,149,149,2024-04-19,1
215,2024-04-09,2024-04-17,1,30,6,154,154,2024-04-19,0
216,2024-04-09,2024-04-17,2,27,6,155,155,2024-04-17,1
217,2024-04-09,2024-04-16,3,7,1,155,155,2024-04-18,0
218,2024-04-10,2024-04-17,1,1,1,150,150,2024-04-22,0
219,2024-04-10,2024-05-10,2,23,5,165,165,2024-05-10,1
220,2024-04-10,2024-04-19,3,14,4,148,148,2024-04-19,1
221,2024-04-11,2024-05-13,1,21,5,155,155,2024-05-13,1
222,2024-04-11,2024-04-22,2,16,2,124,124,2024-04-22,1
223,2024-04-11,2024-05-13,2,20,5,152,152,2024-05-13,1
224,2024-04-11,2024-04-18,2,31,1,141,141,2024-04-18,1
225,2024-04-11,2024-04-18,3,25,1,146,146,2024-04-23,0
226,2024-04-12,2024-04-22,1,9,4,151,151,2024-04-29,0
227,2024-04-12,2024-04-22,1,11,4,142,142,2024-04-29,0
228,2024-04-12,2024-04-22,1,12,4,158,158,2024-04-22,1
229,2024-04-12,2024-04-19,2,25,1,176,176,2024-04-19,1
230,2024-04-15,2024-04-22,1,7,1,162,162,2024-04-24,0
231,2024-04-15,2024-05-01,1,8,3,124,124,2024-05-01,1
232,2024-04-15,2024-04-25,2,4,2,143,143,2024-05-07,0
233,2024-04-15,2024-05-15,2,21,5,151,151,2024-05-15,1
234,2024-04-15,2024-05-15,2,24,5,122,122,2024-05-15,1
235,2024-04-15,2024-05-01,3,6,3,147,147,2024-05-01,1
236,2024-04-16,2024-04-25,1,15,4,150,150,2024-05-07,0
237,2024-04-17,2024-04-26,2,14,4,145,145,2024-04-26,1
238,2024-04-17,2024-04-24,2,19,1,157,157,2024-04-24,1
239,2024-04-18,2024-04-29,1,16,2,140,140,2024-04-29,1
240,2024-04-18,2024-04-26,3,32,6,122,122,2024-04-26,1
241,2024-04-19,2024-04-26,1,31,1,141,141,2024-04-26,1
242,2024-04-19,2024-05-06,2,3,3,143,143,2024-05-06,1
243,2024-04-19,2024-05-06,2,6,3,153,153,2024-05-06,1
244,2024-04-19,2024-04-26,3,31,1,161,161,2024-04-29,0
245,2024-04-22,2024-05-02,1,4,2,152,152,2024-05-02,1
246,2024-04-22,2024-05-22,1,17,5,146,146,2024-05-22,1
247,2024-04-22,2024-04-29,1,19,1,151,151,2024-05-01,0
248,2024-04-22,2024-05-08,3,2,3,143,143,2024-05-08,1
249,2024-04-23,2024-05-03,1,10,2,156,156,2024-05-03,1
250,2024-04-23,2024-04-30,2,7,1,161,161,2024-04-30,1
251,2024-04-23,2024-05-03,3,4,2,164,164,2024-05-08,0
252,2024-04-23,2024-04-30,3,13,1,145,145,2024-04-30,1
253,2024-04-24,2024-05-03,1,14,4,141,141,2024-05-06,0
254,2024-04-24,2024-05-06,3,28,2,156,156,2024-05-06,1
255,2024-04-26,2024-05-13,1,3,3,144,144,2024-05-13,1
256,2024-04-26,2024-05-13,3,8,3,130,130,2024-05-13,1
257,2024-04-26,2024-05-27,3,17,5,158,158,2024-05-27,1
258,2024-04-26,2024-05-27,3,20,5,142,142,2024-05-27,1
259,2024-04-26,2024-05-27,3,21,5,146,146,2024-05-27,1
260,2024-04-29,2024-05-09,2,22,2,152,152,2024-05-09,1
261,2024-04-29,2024-05-29,3,18,5,143,143,2024-05-29,1
262,2024-04-29,2024-05-09,3,22,2,152,152,2024-05-09,1
263,2024-04-30,2024-05-08,1,27,6,142,142,2024-05-08,1
264,2024-04-30,2024-05-10,1,28,2,146,146,2024-05-10,1
265,2024-04-30,2024-05-08,2,26,6,155,155,2024-05-08,1
266,2024-04-30,2024-05-10,3,10,2,143,143,2024-05-10,1
267,2024-04-30,2024-05-09,3,12,4,143,143,2024-05-09,1
268,2024-04-30,2024-05-08,3,29,6,147,147,2024-05-08,1
269,2024-05-01,2024-05-09,2,32,6,132,132,2024-05-09,1
270,2024-05-01,2024-05-10,3,15,4,143,143,2024-05-15,0
271,2024-05-02,2024-05-13,2,10,2,147,147,2024-05-13,1
272,2024-05-03,2024-05-13,2,29,6,143,143,2024-05-27,0
273,2024-05-03,2024-05-10,3,1,1,143,143,2024-05-10,1
274,2024-05-03,2024-05-13,3,30,6,144,144,2024-05-13,1
275,2024-05-06,2024-05-13,1,1,1,179,179,2024-05-20,0
276,2024-05-06,2024-06-05,1,23,5,142,142,2024-06-05,1
277,2024-05-06,2024-05-13,2,13,1,141,141,2024-05-13,1
278,2024-05-06,2024-05-15,2,15,4,148,148,2024-05-27,0
279,2024-05-07,2024-06-06,1,24,5,128,128,2024-06-06,1
280,2024-05-07,2024-06-06,2,18,5,160,160,2024-06-10,0
281,2024-05-07,2024-06-06,2,20,5,157,157,2024-06-06,1
282,2024-05-08,2024-05-17,1,9,4,141,141,2024-05-17,1
283,2024-05-08,2024-05-15,1,13,1,149,149,2024-05-27,0
284,2024-05-08,2024-05-17,3,14,4,141,141,2024-05-17,1
285,2024-05-08,2024-05-20,3,16,2,150,150,2024-05-20,1
286,2024-05-09,2024-05-27,1,2,3,150,150,2024-05-27,1
287,2024-05-09,2024-05-27,1,5,3,153,153,2024-06-10,0
288,2024-05-09,2024-05-27,2,8,3,156,156,2024-06-10,0
289,2024-05-09,2024-05-20,2,16,2,130,130,2024-05-27,0
290,2024-05-09,2024-06-10,2,17,5,145,145,2024-06-10,1
291,2024-05-09,2024-05-16,2,31,1,142,142,2024-05-16,1
292,2024-05-10,2024-05-20,3,26,6,152,152,2024-06-03,0
293,2024-05-13,2024-06-12,1,18,5,150,150,2024-06-14,0
294,2024-05-13,2024-06-12,1,21,5,145,145,2024-06-12,1
295,2024-05-13,2024-05-21,2,30,6,144,144,2024-05-23,0
296,2024-05-13,2024-05-29,3,5,3,141,141,2024-05-29,1
297,2024-05-14,2024-05-23,2,12,4,143,143,2024-06-04,0
298,2024-05-14,2024-05-23,3,9,4,144,144,2024-05-28,0
299,2024-05-14,2024-05-23,3,11,4,141,141,2024-05-23,1
300,2024-05-15,2024-05-23,1,29,6,144,144,2024-05-23,1
301,2024-05-15,2024-05-31,3,3,3,151,151,2024-05-31,1
302,2024-05-16,2024-05-27,1,11,4,150,150,2024-05-27,1
303,2024-05-16,2024-05-23,1,25,1,159,159,2024-06-04,0
304,2024-05-16,2024-06-03,2,2,3,149,149,2024-06-03,1
305,2024-05-16,2024-06-17,2,23,5,162,162,2024-06-19,0
306,2024-05-16,2024-05-24,3,32,6,138,138,2024-05-24,1
307,2024-05-17,2024-06-17,1,17,5,146,146,2024-06-24,0
308,2024-05-20,2024-05-28,3,29,6,144,144,2024-05-28,1
309,2024-05-21,2024-05-30,1,12,4,151,151,2024-06-11,0
310,2024-05-21,2024-06-06,2,6,3,146,146,2024-06-06,1
311,2024-05-21,2024-05-30,2,11,4,165,165,2024-05-30,1
312,2024-05-21,2024-06-20,2,24,5,132,132,2024-06-25,0
313,2024-05-22,2024-05-30,1,30,6,146,146,2024-06-04,0
314,2024-05-22,2024-06-03,2,28,2,142,142,2024-06-03,1
315,2024-05-22,2024-05-30,2,32,6,138,138,2024-05-30,1
316,2024-05-22,2024-05-29,3,25,1,156,156,2024-06-10,0
317,2024-05-23,2024-06-10,1,8,3,140,140,2024-06-10,1
318,2024-05-23,2024-05-30,2,19,1,145,145,2024-06-03,0
319,2024-05-24,2024-06-03,2,14,4,152,152,2024-06-03,1
320,2024-05-24,2024-06-03,2,27,6,142,142,2024-06-17,0
321,2024-05-27,2024-06-03,1,19,1,145,145,2024-06-03,1
322,2024-05-27,2024-06-06,1,22,2,148,148,2024-06-06,1
323,2024-05-27,2024-06-04,1,32,6,134,134,2024-06-04,1
324,2024-05-27,2024-06-05,2,9,4,141,141,2024-06-05,1
325,2024-05-27,2024-06-06,2,10,2,141,141,2024-06-06,1
326,2024-05-27,2024-06-26,2,21,5,152,152,2024-06-26,1
327,2024-05-27,2024-06-04,3,27,6,144,144,2024-06-10,0
328,2024-05-27,2024-06-03,3,31,1,143,143,2024-06-03,1
329,2024-05-28,2024-06-07,1,4,2,158,158,2024-06-12,0
330,2024-05-28,2024-06-07,1,16,2,128,128,2024-06-07,1
331,2024-05-28,2024-06-27,3,18,5,144,144,2024-07-01,0
332,2024-05-28,2024-06-27,3,24,5,126,126,2024-07-02,0
333,2024-05-29,2024-06-05,3,19,1,152,152,2024-06-05,1
334,2024-05-29,2024-06-28,3,23,5,143,143,2024-07-10,0
335,2024-05-30,2024-06-06,1,7,1,162,162,2024-06-06,1
336,2024-05-30,2024-06-17,2,3,3,180,180,2024-06-19,0
337,2024-05-30,2024-06-10,3,15,4,145,145,2024-06-10,1
338,2024-05-30,2024-07-01,3,20,5,149,149,2024-07-08,0
339,2024-05-30,2024-07-01,3,21,5,144,144,2024-07-15,0
340,2024-05-31,2024-06-07,2,25,1,143,143,2024-06-07,1
341,2024-06-03,2024-06-13,1,10,2,145,145,2024-06-13,1
342,2024-06-03,2024-06-11,1,26,6,170,170,2024-06-11,1
343,2024-06-03,2024-06-10,2,1,1,168,168,2024-06-17,0
344,2024-06-03,2024-06-10,3,1,1,145,145,2024-06-12,0
345,2024-06-04,2024-06-13,1,14,4,152,152,2024-06-13,1
346,2024-06-04,2024-07-04,1,24,5,130,130,2024-07-04,1
347,2024-06-04,2024-06-11,1,31,1,149,149,2024-06-11,1
348,2024-06-04,2024-06-14,3,22,2,144,144,2024-06-14,1
349,2024-06-05,2024-06-12,2,13,1,144,144,2024-06-17,0
350,2024-06-05,2024-06-21,3,2,3,145,145,2024-06-21,1
351,2024-06-05,2024-06-12,3,7,1,155,155,2024-06-12,1
352,2024-06-06,2024-06-24,1,6,3,146,146,2024-07-01,0
353,2024-06-06,2024-06-13,2,7,1,147,147,2024-06-13,1
354,2024-06-06,2024-06-17,2,22,2,146,146,2024-06-17,1
355,2024-06-06,2024-07-08,2,24,5,124,124,2024-07-08,1
356,2024-06-06,2024-06-14,2,29,6,146,146,2024-06-17,0
357,2024-06-06,2024-06-17,3,10,2,152,152,2024-06-24,0
358,2024-06-07,2024-06-17,1,15,4,145,145,2024-06-17,1
359,2024-06-07,2024-06-24,2,5,3,160,160,2024-06-24,1
360,2024-06-07,2024-06-17,3,11,4,156,156,2024-06-17,1
361,2024-06-07,2024-06-17,3,16,2,126,126,2024-07-01,0
362,2024-06-10,2024-06-17,1,13,1,161,161,2024-06-17,1
363,2024-06-10,2024-07-10,1,20,5,156,156,2024-07-12,0
364,2024-06-10,2024-06-20,1,28,2,153,153,2024-06-25,0
365,2024-06-10,2024-06-26,2,8,3,156,156,2024-07-08,0
366,2024-06-10,2024-06-20,3,4,2,165,165,2024-06-24,0
367,2024-06-10,2024-06-19,3,9,4,149,149,2024-06-19,1
368,2024-06-10,2024-06-18,3,29,6,146,146,2024-06-18,1
369,2024-06-13,2024-06-21,2,30,6,145,145,2024-06-21,1
370,2024-06-13,2024-06-20,2,31,1,148,148,2024-06-20,1
371,2024-06-14,2024-06-24,1,9,4,143,143,2024-06-24,1
372,2024-06-14,2024-07-15,3,17,5,153,153,2024-07-15,1
373,2024-06-14,2024-07-15,3,18,5,152,152,2024-07-15,1
374,2024-06-17,2024-07-03,1,5,3,149,149,2024-07-03,1
375,2024-06-17,2024-07-17,2,17,5,145,145,2024-07-17,1
376,2024-06-17,2024-06-25,2,26,6,164,164,2024-06-25,1
377,2024-06-17,2024-06-27,3,28,2,179,179,2024-07-01,0
378,2024-06-18,2024-07-04,1,2,3,152,152,2024-07-04,1
379,2024-06-18,2024-07-04,1,3,3,154,154,2024-07-04,1
380,2024-06-18,2024-07-18,1,21,5,142,142,2024-07-18,1
381,2024-06-19,2024-06-26,1,1,1,143,143,2024-06-26,1
382,2024-06-19,2024-06-28,2,12,4,154,154,2024-06-28,1
383,2024-06-19,2024-07-19,2,18,5,160,160,2024-07-24,0
384,2024-06-20,2024-07-01,1,11,4,157,157,2024-07-15,0
385,2024-06-20,2024-06-28,1,27,6,150,150,2024-06-28,1
386,2024-06-21,2024-06-28,3,13,1,143,143,2024-06-28,1
387,2024-06-21,2024-07-01,3,14,4,148,148,2024-07-01,1
388,2024-06-21,2024-07-01,3,26,6,142,142,2024-07-01,1
389,2024-06-24,2024-07-01,1,19,1,144,144,2024-07-08,0
390,2024-06-24,2024-07-01,1,25,1,142,142,2024-07-01,1
391,2024-06-24,2024-07-04,2,16,2,138,138,2024-07-04,1
392,2024-06-24,2024-07-10,3,3,3,144,144,2024-07-15,0
393,2024-06-25,2024-07-25,1,18,5,141,141,2024-07-30,0
394,2024-06-25,2024-07-11,2,2,3,156,156,2024-07-11,1
395,2024-06-25,2024-07-04,2,15,4,174,174,2024-07-09,0
