ReceiptID,PurchaseID,Date,WarehouseID,ProductID,SupplierID,Units,ValueUSD,LeadDays,OnTime
38,41,2024-02-07,2,2,3,144,8467.2,16,1
39,59,2024-02-07,3,19,1,148,2018.72,7,1
40,43,2024-02-08,1,6,3,143,1578.72,16,1
41,52,2024-02-08,1,32,6,128,1351.68,10,0
42,61,2024-02-09,2,29,6,156,2265.12,8,1
43,63,2024-02-09,3,32,6,130,1372.8,8,1
44,8,2024-02-12,3,20,5,196,11466.0,42,0
45,9,2024-02-12,3,21,5,166,3549.08,42,0
46,24,2024-02-12,1,23,5,148,11844.44,31,1
47,44,2024-02-12,2,7,1,142,8035.78,20,0
48,45,2024-02-12,3,3,3,144,4880.16,20,0
49,48,2024-02-12,1,31,1,154,3303.3,19,0
50,53,2024-02-12,2,30,6,141,4221.54,14,0
51,54,2024-02-12,1,16,2,122,2719.38,13,0
52,57,2024-02-12,1,28,2,147,1486.17,12,1
53,62,2024-02-12,3,28,2,147,1486.17,11,1
54,21,2024-02-14,3,23,5,164,13124.92,35,0
55,28,2024-02-14,1,20,5,154,9009.0,30,1
56,29,2024-02-14,2,23,5,151,12084.53,30,1
57,60,2024-02-14,1,26,6,141,7843.83,13,0
58,64,2024-02-14,2,4,2,145,11336.1,12,0
59,66,2024-02-14,3,22,2,148,2775.0,12,0
60,67,2024-02-14,1,12,4,148,8674.28,9,1
61,68,2024-02-14,2,1,1,142,10980.86,9,0
62,73,2024-02-14,1,13,1,146,10687.2,7,1
63,75,2024-02-14,1,19,1,142,1936.88,7,1
64,30,2024-02-15,2,24,5,128,10384.64,30,1
65,55,2024-02-15,2,6,3,147,1622.88,16,1
66,69,2024-02-15,2,9,4,170,1737.4,9,1
67,71,2024-02-15,3,12,4,145,8498.45,9,1
68,72,2024-02-15,3,14,4,152,9121.52,9,1
69,76,2024-02-15,1,1,1,169,13068.77,7,1
70,77,2024-02-15,2,19,1,142,1936.88,7,1
71,33,2024-02-16,1,21,5,149,3185.62,30,1
72,36,2024-02-19,1,17,5,145,10727.1,32,1
73,58,2024-02-19,2,8,3,126,5865.3,19,0
74,65,2024-02-19,3,6,3,148,1633.92,17,1
75,79,2024-02-19,2,14,4,162,9721.62,10,1
76,80,2024-02-19,3,26,6,154,8567.02,10,1
77,56,2024-02-21,2,10,2,152,9656.56,22,0
78,78,2024-02-21,1,27,6,141,11098.11,12,0
79,81,2024-02-21,3,30,6,158,4730.52,12,0
80,84,2024-02-21,3,15,4,160,7393.6,9,1
81,92,2024-02-23,2,27,6,143,11255.53,8,1
82,89,2024-02-26,3,29,6,148,2148.96,12,0
83,97,2024-02-26,1,7,1,141,7979.19,7,1
84,100,2024-02-27,3,19,1,144,1964.16,7,1
85,96,2024-02-28,3,10,2,145,9211.85,12,0
86,98,2024-02-28,2,32,6,138,1457.28,8,1
87,104,2024-02-28,3,25,1,142,1860.2,7,1
88,86,2024-02-29,3,8,3,148,6889.4,16,1
89,106,2024-02-29,2,7,1,146,8262.14,7,1
90,82,2024-03-01,1,5,3,151,848.62,18,0
91,105,2024-03-01,1,30,6,145,4341.3,8,1
92,108,2024-03-01,2,26,6,145,8066.35,8,1
93,110,2024-03-01,3,32,6,132,1393.92,8,1
94,88,2024-03-04,1,8,3,128,5958.4,19,0
95,93,2024-03-04,1,4,2,146,11414.28,17,0
96,95,2024-03-04,3,5,3,152,854.24,17,1
97,102,2024-03-04,1,29,6,180,2613.6,12,0
98,107,2024-03-04,2,25,1,143,1873.3,11,0
99,109,2024-03-04,3,12,4,141,8264.01,11,1
100,111,2024-03-04,1,16,2,138,3076.02,10,1
101,113,2024-03-04,2,12,4,151,8850.11,10,1
102,115,2024-03-04,3,11,4,151,8067.93,10,1
103,118,2024-03-05,1,32,6,126,1330.56,8,1
104,124,2024-03-06,3,7,1,144,8148.96,7,1
105,121,2024-03-07,1,15,4,146,6746.66,9,1
106,123,2024-03-07,2,30,6,143,4281.42,8,1
107,103,2024-03-08,2,5,3,148,831.76,16,1
108,127,2024-03-08,1,25,1,151,1978.1,7,1
109,128,2024-03-08,1,31,1,160,3432.0,7,1
110,70,2024-03-11,2,17,5,143,10579.14,34,0
111,74,2024-03-11,1,18,5,149,6962.77,33,0
112,99,2024-03-11,3,3,3,158,5354.62,20,0
113,122,2024-03-11,2,10,2,149,9465.97,12,1
114,125,2024-03-11,1,14,4,142,8521.42,11,1
115,130,2024-03-11,3,27,6,152,11963.92,10,1
116,132,2024-03-13,1,12,4,163,9553.43,9,1
117,120,2024-03-14,1,2,3,143,8408.4,16,1
118,135,2024-03-14,1,11,4,143,7640.49,9,1
119,85,2024-03-15,3,24,5,132,10709.16,32,0
120,83,2024-03-18,2,24,5,144,11682.72,35,0
121,87,2024-03-18,3,23,5,154,12324.62,34,0
122,90,2024-03-18,1,20,5,153,8950.5,32,1
123,112,2024-03-18,2,11,4,150,8014.5,24,0
124,126,2024-03-18,2,3,3,143,4846.27,18,1
125,140,2024-03-18,3,16,2,124,2763.96,12,1
126,143,2024-03-18,2,16,2,130,2897.7,10,1
127,145,2024-03-18,2,31,1,146,3131.7,10,0
128,148,2024-03-18,2,13,1,145,10614.0,7,1
129,131,2024-03-20,1,6,3,154,1700.16,16,1
130,133,2024-03-20,2,6,3,151,1667.04,16,1
131,141,2024-03-20,2,29,6,149,2163.48,13,0
132,146,2024-03-20,1,9,4,149,1522.78,9,1
133,155,2024-03-20,2,19,1,141,1923.24,7,1
134,147,2024-03-21,2,4,2,148,11570.64,10,1
135,149,2024-03-21,2,22,2,144,2700.0,10,1
136,151,2024-03-22,1,10,2,153,9720.09,10,1
137,153,2024-03-22,3,4,2,149,11648.82,10,1
138,154,2024-03-22,2,14,4,149,8941.49,9,1
139,161,2024-03-22,1,13,1,154,11272.8,7,1
140,163,2024-03-22,3,1,1,166,12836.78,7,1
141,91,2024-03-25,2,18,5,157,7336.61,39,0
142,94,2024-03-25,1,17,5,141,10431.18,38,0
143,101,2024-03-25,1,23,5,143,11444.29,33,0
144,114,2024-03-25,2,23,5,154,12324.62,31,1
145,116,2024-03-25,3,21,5,162,3463.56,31,1
146,137,2024-03-25,2,1,1,157,12140.81,20,0
147,158,2024-03-25,2,28,2,174,1759.14,11,1
148,162,2024-03-25,2,15,4,156,7208.76,10,1
149,164,2024-03-25,3,30,6,152,4550.88,10,1
150,156,2024-03-26,1,19,1,145,1977.8,12,0
151,166,2024-03-26,1,27,6,150,11806.5,8,1
152,168,2024-03-26,2,32,6,134,1415.04,8,1
153,169,2024-03-26,1,1,1,160,12372.8,7,1
154,171,2024-03-26,2,25,1,151,1978.1,7,1
155,117,2024-03-27,1,21,5,159,3399.42,30,1
156,150,2024-03-28,1,8,3,138,6423.9,16,1
157,165,2024-03-28,1,4,2,149,11648.82,10,1
158,167,2024-03-28,1,28,2,147,1486.17,10,1
159,176,2024-03-29,2,26,6,144,8010.72,8,1
160,129,2024-04-01,3,17,5,151,11170.98,31,1
161,152,2024-04-01,3,2,3,144,8467.2,20,0
162,157,2024-04-01,2,2,3,147,8643.6,18,1
163,159,2024-04-01,3,8,3,122,5679.1,18,1
164,173,2024-04-01,3,10,2,147,9338.91,13,0
165,134,2024-04-02,1,3,3,154,5219.06,28,0
166,174,2024-04-02,3,15,4,155,7162.55,14,0
167,182,2024-04-03,2,30,6,152,4550.88,8,1
168,136,2024-04-04,1,24,5,144,11682.72,30,1
169,138,2024-04-05,2,21,5,147,3142.86,30,1
170,184,2024-04-05,3,29,6,155,2250.6,10,0
171,190,2024-04-05,1,32,6,136,1436.16,8,1
172,194,2024-04-05,3,32,6,128,1351.68,8,1
173,119,2024-04-08,3,20,5,145,8482.5,42,0
174,142,2024-04-08,3,18,5,157,7336.61,32,1
175,144,2024-04-08,2,20,5,167,9769.5,31,1
176,172,2024-04-08,3,6,3,141,1556.64,20,0
177,175,2024-04-08,2,8,3,156,7261.8,18,1
178,183,2024-04-08,3,12,4,142,8322.62,13,0
179,177,2024-04-09,3,13,1,151,11053.2,19,0
180,181,2024-04-09,2,12,4,144,8439.84,14,0
181,188,2024-04-10,3,9,4,145,1481.9,14,0
182,197,2024-04-10,2,11,4,156,8335.08,9,1
183,198,2024-04-10,1,29,6,147,2134.44,8,1
184,206,2024-04-11,3,19,1,141,1923.24,7,1
185,201,2024-04-12,2,1,1,150,11599.5,9,0
186,204,2024-04-12,2,29,6,166,2410.32,8,1
187,180,2024-04-15,3,26,6,155,8622.65,21,0
188,185,2024-04-15,1,5,3,146,820.52,19,0
189,189,2024-04-15,1,2,3,154,9055.2,18,1
190,193,2024-04-15,3,22,2,153,2868.75,18,0
191,196,2024-04-15,1,26,6,147,8177.61,14,0
192,207,2024-04-15,3,27,6,144,11334.24,11,0
193,210,2024-04-15,1,25,1,153,2004.3,10,0
194,139,2024-04-17,2,24,5,122,9897.86,42,0
195,160,2024-04-17,3,24,5,130,10546.9,34,0
196,202,2024-04-17,3,16,2,126,2808.54,14,0
197,216,2024-04-17,2,27,6,155,12200.05,8,1
198,170,2024-04-18,2,18,5,157,7336.61,30,1
199,199,2024-04-18,3,3,3,150,5083.5,16,1
200,217,2024-04-18,3,7,1,155,8771.45,9,0
201,224,2024-04-18,2,31,1,141,3024.45,7,1
202,214,2024-04-19,1,22,2,149,2793.75,10,1
203,215,2024-04-19,1,30,6,154,4610.76,10,0
204,220,2024-04-19,3,14,4,148,8881.48,9,1
205,229,2024-04-19,2,25,1,176,2305.6,7,1
206,178,2024-04-22,3,23,5,149,11924.47,31,1
207,191,2024-04-22,2,5,3,151,848.62,25,0
208,192,2024-04-22,3,11,4,143,7640.49,25,0
209,195,2024-04-22,3,28,2,161,1627.71,24,0
210,218,2024-04-22,1,1,1,150,11599.5,12,0
211,222,2024-04-22,2,16,2,124,2763.96,11,1
212,228,2024-04-22,1,12,4,158,9260.38,10,1
213,225,2024-04-23,3,25,1,146,1912.6,12,0
214,179,2024-04-24,3,21,5,156,3335.28,30,1
215,205,2024-04-24,3,5,3,144,809.28,20,0
216,212,2024-04-24,3,8,3,134,6237.7,16,1
217,230,2024-04-24,1,7,1,162,9167.58,9,0
218,238,2024-04-24,2,19,1,157,2141.48,7,1
219,187,2024-04-26,1,24,5,132,10709.16,30,1
220,237,2024-04-26,2,14,4,145,8701.45,9,1
221,240,2024-04-26,3,32,6,122,1288.32,8,1
222,241,2024-04-26,1,31,1,141,3024.45,7,1
223,208,2024-04-29,1,6,3,152,1678.08,24,0
224,211,2024-04-29,2,9,4,169,1727.18,21,0
225,226,2024-04-29,1,9,4,151,1543.22,17,0
226,227,2024-04-29,1,11,4,142,7587.06,17,0
227,239,2024-04-29,1,16,2,140,3120.6,11,1
228,244,2024-04-29,3,31,1,161,3453.45,10,0
229,250,2024-04-30,2,7,1,161,9110.99,7,1
230,252,2024-04-30,3,13,1,145,10614.0,7,1
231,231,2024-05-01,1,8,3,124,5772.2,16,1
232,235,2024-05-01,3,6,3,147,1622.88,16,1
233,247,2024-05-01,1,19,1,151,2059.64,9,0
234,245,2024-05-02,1,4,2,152,11883.36,10,1
235,200,2024-05-03,1,23,5,153,12244.59,30,1
236,249,2024-05-03,1,10,2,156,9910.68,10,1
237,242,2024-05-06,2,3,3,143,4846.27,17,1
238,243,2024-05-06,2,6,3,153,1689.12,17,1
239,253,2024-05-06,1,14,4,141,8461.41,12,0
240,254,2024-05-06,3,28,2,156,1577.16,12,1
241,232,2024-05-07,2,4,2,143,11179.74,22,0
242,236,2024-05-07,1,15,4,150,6931.5,21,0
243,186,2024-05-08,1,20,5,143,8365.5,42,0
244,203,2024-05-08,2,17,5,147,10875.06,34,0
245,209,2024-05-08,1,18,5,153,7149.69,33,0
246,213,2024-05-08,3,24,5,130,10546.9,30,1
247,248,2024-05-08,3,2,3,143,8408.4,16,1
248,251,2024-05-08,3,4,2,164,12821.52,15,0
249,263,2024-05-08,1,27,6,142,11176.82,8,1
250,265,2024-05-08,2,26,6,155,8622.65,8,1
251,268,2024-05-08,3,29,6,147,2134.44,8,1
252,260,2024-05-09,2,22,2,152,2850.0,10,1
253,262,2024-05-09,3,22,2,152,2850.0,10,1
254,267,2024-05-09,3,12,4,143,8381.23,9,1
255,269,2024-05-09,2,32,6,132,1393.92,8,1
256,219,2024-05-10,2,23,5,165,13204.95,30,1
257,264,2024-05-10,1,28,2,146,1476.06,10,1
258,266,2024-05-10,3,10,2,143,9084.79,10,1
259,273,2024-05-10,3,1,1,143,11058.19,7,1
260,221,2024-05-13,1,21,5,155,3313.9,32,1
261,223,2024-05-13,2,20,5,152,8892.0,32,1
262,255,2024-05-13,1,3,3,144,4880.16,17,1
263,256,2024-05-13,3,8,3,130,6051.5,17,1
264,271,2024-05-13,2,10,2,147,9338.91,11,1
265,274,2024-05-13,3,30,6,144,4311.36,10,1
266,277,2024-05-13,2,13,1,141,10321.2,7,1
267,233,2024-05-15,2,21,5,151,3228.38,30,1
268,234,2024-05-15,2,24,5,122,9897.86,30,1
269,270,2024-05-15,3,15,4,143,6608.03,14,0
270,291,2024-05-16,2,31,1,142,3045.9,7,1
271,282,2024-05-17,1,9,4,141,1441.02,9,1
272,284,2024-05-17,3,14,4,141,8461.41,9,1
273,275,2024-05-20,1,1,1,179,13842.07,14,0
274,285,2024-05-20,3,16,2,150,3343.5,12,1
275,246,2024-05-22,1,17,5,146,10801.08,30,1
276,295,2024-05-23,2,30,6,144,4311.36,10,0
277,299,2024-05-23,3,11,4,141,7533.63,9,1
278,300,2024-05-23,1,29,6,144,2090.88,8,1
279,306,2024-05-24,3,32,6,138,1457.28,8,1
280,257,2024-05-27,3,17,5,158,11688.84,31,1
281,258,2024-05-27,3,20,5,142,8307.0,31,1
282,259,2024-05-27,3,21,5,146,3121.48,31,1
283,272,2024-05-27,2,29,6,143,2076.36,24,0
284,278,2024-05-27,2,15,4,148,6839.08,21,0
285,283,2024-05-27,1,13,1,149,10906.8,19,0
286,286,2024-05-27,1,2,3,150,8820.0,18,1
287,289,2024-05-27,2,16,2,130,2897.7,18,0
288,302,2024-05-27,1,11,4,150,8014.5,11,1
289,298,2024-05-28,3,9,4,144,1471.68,14,0
290,308,2024-05-28,3,29,6,144,2090.88,8,1
291,261,2024-05-29,3,18,5,143,6682.39,30,1
292,296,2024-05-29,3,5,3,141,792.42,16,1
293,311,2024-05-30,2,11,4,165,8815.95,9,1
294,315,2024-05-30,2,32,6,138,1457.28,8,1
295,301,2024-05-31,3,3,3,151,5117.39,16,1
296,292,2024-06-03,3,26,6,152,8455.76,24,0
297,304,2024-06-03,2,2,3,149,8761.2,18,1
298,314,2024-06-03,2,28,2,142,1435.62,12,1
299,318,2024-06-03,2,19,1,145,1977.8,11,0
300,319,2024-06-03,2,14,4,152,9121.52,10,1
301,321,2024-06-03,1,19,1,145,1977.8,7,1
302,328,2024-06-03,3,31,1,143,3067.35,7,1
303,297,2024-06-04,2,12,4,143,8381.23,21,0
304,303,2024-06-04,1,25,1,159,2082.9,19,0
305,313,2024-06-04,1,30,6,146,4371.24,13,0
306,323,2024-06-04,1,32,6,134,1415.04,8,1
307,276,2024-06-05,1,23,5,142,11364.26,30,1
308,324,2024-06-05,2,9,4,141,1441.02,9,1
309,333,2024-06-05,3,19,1,152,2073.28,7,1
310,279,2024-06-06,1,24,5,128,10384.64,30,1
311,281,2024-06-06,2,20,5,157,9184.5,30,1
312,310,2024-06-06,2,6,3,146,1611.84,16,1
313,322,2024-06-06,1,22,2,148,2775.0,10,1
314,325,2024-06-06,2,10,2,141,8957.73,10,1
315,335,2024-06-06,1,7,1,162,9167.58,7,1
316,330,2024-06-07,1,16,2,128,2853.12,10,1
317,340,2024-06-07,2,25,1,143,1873.3,7,1
318,280,2024-06-10,2,18,5,160,7476.8,34,0
319,287,2024-06-10,1,5,3,153,859.86,32,0
320,288,2024-06-10,2,8,3,156,7261.8,32,0
321,290,2024-06-10,2,17,5,145,10727.1,32,1
322,316,2024-06-10,3,25,1,156,2043.6,19,0
323,317,2024-06-10,1,8,3,140,6517.0,18,1
324,327,2024-06-10,3,27,6,144,11334.24,14,0
325,337,2024-06-10,3,15,4,145,6700.45,11,1
326,309,2024-06-11,1,12,4,151,8850.11,21,0
327,342,2024-06-11,1,26,6,170,9457.1,8,1
328,347,2024-06-11,1,31,1,149,3196.05,7,1
329,294,2024-06-12,1,21,5,145,3100.1,30,1
330,329,2024-06-12,1,4,2,158,12352.44,15,0
331,344,2024-06-12,3,1,1,145,11212.85,9,0
332,351,2024-06-12,3,7,1,155,8771.45,7,1
333,341,2024-06-13,1,10,2,145,9211.85,10,1
334,345,2024-06-13,1,14,4,152,9121.52,9,1
335,353,2024-06-13,2,7,1,147,8318.73,7,1
336,293,2024-06-14,1,18,5,150,7009.5,32,0
337,348,2024-06-14,3,22,2,144,2700.0,10,1
338,320,2024-06-17,2,27,6,142,11176.82,24,0
339,343,2024-06-17,2,1,1,168,12991.44,14,0
340,349,2024-06-17,2,13,1,144,10540.8,12,0
341,354,2024-06-17,2,22,2,146,2737.5,11,1
342,356,2024-06-17,2,29,6,146,2119.92,11,0
343,358,2024-06-17,1,15,4,145,6700.45,10,1
344,360,2024-06-17,3,11,4,156,8335.08,10,1
345,362,2024-06-17,1,13,1,161,11785.2,7,1
346,368,2024-06-18,3,29,6,146,2119.92,8,1
347,305,2024-06-19,2,23,5,162,12964.86,34,0
348,336,2024-06-19,2,3,3,180,6100.2,20,0
349,367,2024-06-19,3,9,4,149,1522.78,9,1
350,370,2024-06-20,2,31,1,148,3174.6,7,1
351,350,2024-06-21,3,2,3,145,8526.0,16,1
352,369,2024-06-21,2,30,6,145,4341.3,8,1
353,307,2024-06-24,1,17,5,146,10801.08,38,0
354,357,2024-06-24,3,10,2,152,9656.56,18,0
355,359,2024-06-24,2,5,3,160,899.2,17,1
356,366,2024-06-24,3,4,2,165,12899.7,14,0
357,371,2024-06-24,1,9,4,143,1461.46,10,1
358,312,2024-06-25,2,24,5,132,10709.16,35,0
359,364,2024-06-25,1,28,2,153,1546.83,15,0
360,376,2024-06-25,2,26,6,164,9123.32,8,1
361,326,2024-06-26,2,21,5,152,3249.76,30,1
362,381,2024-06-26,1,1,1,143,11058.19,7,1
363,382,2024-06-28,2,12,4,154,9025.94,9,1
364,385,2024-06-28,1,27,6,150,11806.5,8,1
365,386,2024-06-28,3,13,1,143,10467.6,7,1
366,331,2024-07-01,3,18,5,144,6729.12,34,0
367,352,2024-07-01,1,6,3,146,1611.84,25,0
368,361,2024-07-01,3,16,2,126,2808.54,24,0
369,377,2024-07-01,3,28,2,179,1809.69,14,0
370,387,2024-07-01,3,14,4,148,8881.48,10,1
371,388,2024-07-01,3,26,6,142,7899.46,10,1
372,390,2024-07-01,1,25,1,142,1860.2,7,1
373,332,2024-07-02,3,24,5,126,10222.38,35,0
374,374,2024-07-03,1,5,3,149,837.38,16,1
375,346,2024-07-04,1,24,5,130,10546.9,30,1
376,378,2024-07-04,1,2,3,152,8937.6,16,1
377,379,2024-07-04,1,3,3,154,5219.06,16,1
378,391,2024-07-04,2,16,2,138,3076.02,10,1
379,400,2024-07-04,2,7,1,147,8318.73,7,1
380,398,2024-07-05,3,12,4,164,9612.04,9,1
381,399,2024-07-05,1,30,6,157,4700.58,8,1
382,404,2024-07-05,3,32,6,126,1330.56,8,1
383,338,2024-07-08,3,20,5,149,8716.5,39,0
384,355,2024-07-08,2,24,5,124,10060.12,32,1
385,365,2024-07-08,2,8,3,156,7261.8,28,0
386,389,2024-07-08,1,19,1,144,1964.16,14,0
387,397,2024-07-08,3,30,6,150,4491.0,13,0
388,401,2024-07-08,2,11,4,141,7533.63,11,1
389,395,2024-07-09,2,15,4,174,8040.54,14,0
390,410,2024-07-09,3,27,6,153,12042.63,8,1
391,334,2024-07-10,3,23,5,143,11444.29,42,0
392,407,2024-07-10,3,25,1,153,2004.3,12,0
393,412,2024-07-10,2,27,6,141,11098.11,8,1
394,415,2024-07-10,2,25,1,143,1873.3,7,1
395,394,2024-07-11,2,2,3,156,9172.8,16,1
396,408,2024-07-11,1,28,2,151,1526.61,10,1
397,363,2024-07-12,1,20,5,156,9126.0,32,0
398,419,2024-07-12,3,7,1,143,8092.37,7,1
399,339,2024-07-15,3,21,5,144,3078.72,46,0
400,372,2024-07-15,3,17,5,153,11318.94,31,1
401,373,2024-07-15,3,18,5,152,7102.96,31,1
402,384,2024-07-15,1,11,4,157,8388.51,25,0
403,392,2024-07-15,3,3,3,144,4880.16,21,0
404,402,2024-07-15,3,5,3,143,803.66,18,1
405,403,2024-07-15,3,6,3,145,1600.8,18,1
406,414,2024-07-15,2,22,2,141,2643.75,12,1
407,416,2024-07-15,1,12,4,146,8557.06,11,1
408,417,2024-07-15,2,4,2,154,12039.72,10,1
409,429,2024-07-16,2,13,1,148,10833.6,7,1
410,375,2024-07-17,2,17,5,145,10727.1,30,1
411,426,2024-07-17,2,12,4,160,9377.6,9,1
412,428,2024-07-17,1,29,6,153,2221.56,8,1
413,430,2024-07-17,2,29,6,150,2178.0,8,1
414,380,2024-07-18,1,21,5,142,3035.96,30,1
415,421,2024-07-18,1,16,2,140,3120.6,10,1
416,440,2024-07-19,2,1,1,160,12372.8,7,1
417,406,2024-07-22,3,8,3,132,6144.6,24,0
418,425,2024-07-22,2,9,4,157,1604.54,14,0
419,432,2024-07-22,1,22,2,175,3281.25,12,1
420,433,2024-07-22,2,16,2,132,2942.28,12,1
421,438,2024-07-22,3,15,4,146,6746.66,11,1
422,441,2024-07-22,3,22,2,162,3037.5,10,1
423,444,2024-07-23,1,31,1,169,3625.05,7,1
424,445,2024-07-23,2,19,1,142,1936.88,7,1
425,383,2024-07-24,2,18,5,160,7476.8,35,0
426,413,2024-07-24,3,4,2,143,11179.74,22,0
427,424,2024-07-24,2,6,3,151,1667.04,16,1
428,448,2024-07-24,3,26,6,145,8066.35,8,1
429,449,2024-07-24,1,7,1,141,7979.19,7,1
430,420,2024-07-26,1,8,3,128,5958.4,18,0
431,446,2024-07-26,2,32,6,130,1372.8,10,0
432,447,2024-07-26,3,16,2,140,3120.6,10,1
433,453,2024-07-26,2,31,1,144,3088.8,9,0
434,457,2024-07-26,3,29,6,151,2192.52,8,1
435,463,2024-07-26,3,1,1,142,10980.86,7,1
436,396,2024-07-29,2,23,5,146,11684.38,34,0
437,405,2024-07-29,2,20,5,160,9360.0,31,1
438,437,2024-07-29,2,8,3,126,5865.3,18,1
439,439,2024-07-29,1,4,2,154,12039.72,17,0
440,442,2024-07-29,3,10,2,150,9529.5,14,0
441,455,2024-07-29,1,15,4,152,7023.92,11,1
442,459,2024-07-29,1,26,6,153,8511.39,10,1
443,393,2024-07-30,1,18,5,141,6588.93,35,0
444,409,2024-07-31,3,23,5,154,12324.62,30,1
445,452,2024-07-31,2,28,2,149,1506.39,14,0
446,460,2024-07-31,2,14,4,156,9361.56,12,0
447,464,2024-07-31,1,13,1,161,11785.2,9,0
448,465,2024-07-31,3,31,1,177,3796.65,9,0
449,411,2024-08-01,1,23,5,146,11684.38,30,1
450,450,2024-08-02,2,5,3,143,803.66,16,1
451,466,2024-08-02,1,10,2,153,9720.09,10,1
452,418,2024-08-05,2,17,5,143,10579.14,31,1
453,423,2024-08-05,2,3,3,143,4846.27,28,0
454,456,2024-08-05,3,2,3,148,8702.4,18,1
455,458,2024-08-05,1,2,3,151,8878.8,17,1
456,473,2024-08-05,1,12,4,155,9084.55,10,1
457,474,2024-08-05,1,32,6,136,1436.16,10,1
458,478,2024-08-05,3,19,1,156,2127.84,7,1
459,443,2024-08-06,1,14,4,148,8881.48,21,0
460,422,2024-08-07,1,24,5,124,10060.12,30,1
461,467,2024-08-07,2,16,2,128,2853.12,15,0
462,427,2024-08-08,1,20,5,153,8950.5,30,1
463,468,2024-08-09,1,5,3,144,809.28,16,1
464,431,2024-08-12,1,21,5,145,3100.1,33,0
465,462,2024-08-12,2,26,6,143,7955.09,24,0
466,469,2024-08-12,1,9,4,142,1451.24,18,0
467,470,2024-08-12,3,3,3,167,5659.63,18,1
468,471,2024-08-12,3,5,3,143,803.66,18,1
469,482,2024-08-12,1,19,1,147,2005.08,11,0
470,487,2024-08-12,1,29,6,148,2148.96,10,1
471,477,2024-08-13,2,10,2,154,9783.62,15,0
472,434,2024-08-14,2,18,5,142,6635.66,35,0
473,435,2024-08-14,3,17,5,144,10653.12,35,0
474,475,2024-08-14,2,2,3,161,9466.8,16,1
475,481,2024-08-14,3,28,2,155,1567.05,14,0
476,489,2024-08-14,2,9,4,155,1584.1,9,1
477,493,2024-08-14,1,27,6,143,11255.53,8,1
478,497,2024-08-15,2,7,1,155,8771.45,7,1
479,451,2024-08-16,2,21,5,156,3335.28,30,1
480,454,2024-08-16,3,20,5,143,8365.5,30,1
481,476,2024-08-16,2,8,3,152,7075.6,18,0
482,479,2024-08-16,3,8,3,134,6237.7,16,1
483,436,2024-08-19,1,17,5,151,11170.98,39,0
484,461,2024-08-19,2,24,5,124,10060.12,31,1
485,484,2024-08-19,1,3,3,150,5083.5,17,1
486,491,2024-08-19,3,14,4,164,9841.64,14,0
487,492,2024-08-19,3,25,1,147,1925.7,14,0
488,494,2024-08-19,2,4,2,145,11336.1,12,1
489,499,2024-08-19,3,9,4,167,1706.74,11,1
490,503,2024-08-20,3,27,6,145,11412.95,8,1
491,504,2024-08-20,1,7,1,142,8035.78,7,1
492,505,2024-08-20,2,19,1,146,1991.44,7,1
493,508,2024-08-20,3,13,1,141,10321.2,7,1
494,488,2024-08-21,2,3,3,185,6269.65,16,1
495,502,2024-08-21,2,15,4,159,7347.39,9,1
496,509,2024-08-21,3,32,6,128,1351.68,8,1
