Date,WarehouseID,Stage,CapacityUnits,CompletedUnits,OpeningQueueUnits,ClosingQueueUnits,WaitUnitDays
2024-01-12,3,Pack,207,119,119,0,119
2024-01-12,3,Pick,221,189,189,0,0
2024-01-15,1,Dispatch,259,141,141,0,423
2024-01-15,1,Pack,229,156,156,0,468
2024-01-15,1,Pick,233,143,143,0,0
2024-01-15,2,Dispatch,229,178,178,0,534
2024-01-15,2,Pack,228,139,139,0,417
2024-01-15,2,Pick,243,155,155,0,0
2024-01-15,3,Dispatch,260,119,119,0,357
2024-01-15,3,Pack,239,189,189,0,567
2024-01-15,3,Pick,254,114,114,0,0
2024-01-16,1,Dispatch,207,156,156,0,156
2024-01-16,1,Pack,202,143,143,0,143
2024-01-16,1,Pick,259,86,86,0,0
2024-01-16,2,Dispatch,216,139,139,0,139
2024-01-16,2,Pack,237,155,155,0,155
2024-01-16,2,Pick,253,139,147,8,0
2024-01-16,3,Dispatch,246,189,189,0,189
2024-01-16,3,Pack,206,114,114,0,114
2024-01-16,3,Pick,265,158,158,0,0
2024-01-17,1,Dispatch,240,143,143,0,143
2024-01-17,1,Pack,194,86,86,0,86
2024-01-17,1,Pick,223,154,154,0,0
2024-01-17,2,Dispatch,207,155,155,0,155
2024-01-17,2,Pack,213,139,139,0,139
2024-01-17,2,Pick,263,192,200,8,0
2024-01-17,3,Dispatch,261,114,114,0,114
2024-01-17,3,Pack,190,158,158,0,158
2024-01-17,3,Pick,209,149,149,0,0
2024-01-18,1,Dispatch,243,86,86,0,86
2024-01-18,1,Pack,218,154,154,0,154
2024-01-18,1,Pick,227,106,106,0,0
2024-01-18,2,Dispatch,220,139,139,0,139
2024-01-18,2,Pack,201,192,192,0,192
2024-01-18,2,Pick,244,128,136,8,0
2024-01-18,3,Dispatch,260,158,158,0,158
2024-01-18,3,Pack,196,149,149,0,149
2024-01-18,3,Pick,213,195,195,0,0
2024-01-19,1,Dispatch,224,154,154,0,154
2024-01-19,1,Pack,223,106,106,0,106
2024-01-19,1,Pick,266,143,143,0,0
2024-01-19,2,Dispatch,252,192,192,0,192
2024-01-19,2,Pack,203,128,128,0,128
2024-01-19,2,Pick,265,131,149,18,0
2024-01-19,3,Dispatch,235,149,149,0,149
2024-01-19,3,Pack,218,195,195,0,195
2024-01-19,3,Pick,206,129,129,0,0
2024-01-22,1,Dispatch,243,106,106,0,318
2024-01-22,1,Pack,230,143,143,0,429
2024-01-22,1,Pick,244,137,137,0,0
2024-01-22,2,Dispatch,258,128,128,0,384
2024-01-22,2,Pack,229,131,131,0,393
2024-01-22,2,Pick,249,153,186,33,0
2024-01-22,3,Dispatch,236,195,195,0,585
2024-01-22,3,Pack,185,129,129,0,387
2024-01-22,3,Pick,245,127,127,0,0
2024-01-23,1,Dispatch,262,143,143,0,143
2024-01-23,1,Pack,202,137,137,0,137
2024-01-23,1,Pick,224,157,157,0,0
2024-01-23,2,Dispatch,243,131,131,0,131
2024-01-23,2,Pack,190,153,153,0,153
2024-01-23,2,Pick,213,141,174,33,0
2024-01-23,3,Dispatch,263,129,129,0,129
2024-01-23,3,Pack,199,127,127,0,127
2024-01-23,3,Pick,222,159,159,0,0
2024-01-24,1,Dispatch,231,137,137,0,137
2024-01-24,1,Pack,190,157,157,0,157
2024-01-24,1,Pick,216,213,213,0,0
2024-01-24,2,Dispatch,222,153,153,0,153
2024-01-24,2,Pack,219,141,141,0,141
2024-01-24,2,Pick,235,106,155,49,0
2024-01-24,3,Dispatch,228,127,127,0,127
2024-01-24,3,Pack,225,159,159,0,159
2024-01-24,3,Pick,250,115,115,0,0
2024-01-25,1,Dispatch,255,157,157,0,157
2024-01-25,1,Pack,207,207,213,6,207
2024-01-25,1,Pick,261,144,144,0,0
2024-01-25,2,Dispatch,213,141,141,0,141
2024-01-25,2,Pack,231,106,106,0,106
2024-01-25,2,Pick,228,127,197,70,0
2024-01-25,3,Dispatch,205,159,159,0,159
2024-01-25,3,Pack,239,115,115,0,115
2024-01-25,3,Pick,226,161,161,0,0
2024-01-26,1,Dispatch,235,207,207,0,207
2024-01-26,1,Pack,211,150,150,0,156
2024-01-26,1,Pick,227,184,184,0,0
2024-01-26,2,Dispatch,214,106,106,0,106
2024-01-26,2,Pack,220,127,127,0,127
2024-01-26,2,Pick,252,148,218,70,0
2024-01-26,3,Dispatch,201,115,115,0,115
2024-01-26,3,Pack,190,161,161,0,161
2024-01-26,3,Pick,222,110,110,0,0
2024-01-29,1,Dispatch,214,150,150,0,450
2024-01-29,1,Pack,210,184,184,0,552
2024-01-29,1,Pick,218,150,150,0,0
2024-01-29,2,Dispatch,212,127,127,0,381
2024-01-29,2,Pack,220,148,148,0,444
2024-01-29,2,Pick,238,197,278,81,0
2024-01-29,3,Dispatch,204,161,161,0,483
2024-01-29,3,Pack,239,110,110,0,330
2024-01-29,3,Pick,264,177,177,0,0
2024-01-30,1,Dispatch,243,184,184,0,184
2024-01-30,1,Pack,223,150,150,0,150
2024-01-30,1,Pick,215,133,133,0,0
2024-01-30,2,Dispatch,221,148,148,0,148
2024-01-30,2,Pack,226,197,197,0,197
2024-01-30,2,Pick,206,162,243,81,0
2024-01-30,3,Dispatch,245,110,110,0,110
2024-01-30,3,Pack,229,177,177,0,177
2024-01-30,3,Pick,218,122,122,0,0
2024-01-31,1,Dispatch,235,150,150,0,150
2024-01-31,1,Pack,191,133,133,0,133
2024-01-31,1,Pick,215,129,129,0,0
2024-01-31,2,Dispatch,233,197,197,0,197
2024-01-31,2,Pack,219,162,162,0,162
2024-01-31,2,Pick,205,205,259,54,635
2024-01-31,3,Dispatch,239,177,177,0,177
2024-01-31,3,Pack,220,122,122,0,122
2024-01-31,3,Pick,251,155,155,0,0
2024-02-01,1,Dispatch,205,133,133,0,133
2024-02-01,1,Pack,231,129,129,0,129
2024-02-01,1,Pick,249,114,114,0,0
2024-02-01,2,Dispatch,252,162,162,0,162
2024-02-01,2,Pack,191,191,205,14,191
2024-02-01,2,Pick,250,200,200,0,54
2024-02-01,3,Dispatch,254,122,122,0,122
2024-02-01,3,Pack,235,155,155,0,155
2024-02-01,3,Pick,225,147,147,0,0
2024-02-02,1,Dispatch,231,129,129,0,129
2024-02-02,1,Pack,230,114,114,0,114
2024-02-02,1,Pick,223,196,196,0,0
2024-02-02,2,Dispatch,261,191,191,0,191
2024-02-02,2,Pack,224,214,214,0,228
2024-02-02,2,Pick,236,165,165,0,0
2024-02-02,3,Dispatch,209,155,155,0,155
2024-02-02,3,Pack,193,147,147,0,147
2024-02-02,3,Pick,254,118,118,0,0
2024-02-05,1,Dispatch,225,114,114,0,342
2024-02-05,1,Pack,184,184,196,12,552
2024-02-05,1,Pick,238,135,135,0,0
2024-02-05,2,Dispatch,203,203,214,11,609
2024-02-05,2,Pack,203,165,165,0,495
2024-02-05,2,Pick,235,169,169,0,0
2024-02-05,3,Dispatch,248,147,147,0,441
2024-02-05,3,Pack,211,118,118,0,354
2024-02-05,3,Pick,215,171,171,0,0
2024-02-06,1,Dispatch,202,184,184,0,184
2024-02-06,1,Pack,238,147,147,0,183
2024-02-06,1,Pick,252,125,125,0,0
2024-02-06,2,Dispatch,226,176,176,0,209
2024-02-06,2,Pack,187,169,169,0,169
2024-02-06,2,Pick,228,173,173,0,0
2024-02-06,3,Dispatch,205,118,118,0,118
2024-02-06,3,Pack,185,171,171,0,171
2024-02-06,3,Pick,250,115,117,2,0
2024-02-07,1,Dispatch,212,147,147,0,147
2024-02-07,1,Pack,187,125,125,0,125
2024-02-07,1,Pick,256,150,150,0,0
2024-02-07,2,Dispatch,200,169,169,0,169
2024-02-07,2,Pack,209,173,173,0,173
2024-02-07,2,Pick,237,111,111,0,0
2024-02-07,3,Dispatch,221,171,171,0,171
2024-02-07,3,Pack,211,115,115,0,115
2024-02-07,3,Pick,227,149,164,15,0
2024-02-08,1,Dispatch,232,125,125,0,125
2024-02-08,1,Pack,217,150,150,0,150
2024-02-08,1,Pick,205,159,159,0,0
2024-02-08,2,Dispatch,242,173,173,0,173
2024-02-08,2,Pack,198,111,111,0,111
2024-02-08,2,Pick,216,185,187,2,0
2024-02-08,3,Dispatch,210,115,115,0,115
2024-02-08,3,Pack,185,149,149,0,149
2024-02-08,3,Pick,217,114,129,15,0
2024-02-09,1,Dispatch,255,150,150,0,150
2024-02-09,1,Pack,185,159,159,0,159
2024-02-09,1,Pick,229,185,185,0,0
2024-02-09,2,Dispatch,245,111,111,0,111
2024-02-09,2,Pack,241,185,185,0,185
2024-02-09,2,Pick,214,172,174,2,0
2024-02-09,3,Dispatch,255,149,149,0,149
2024-02-09,3,Pack,187,114,114,0,114
2024-02-09,3,Pick,239,209,209,0,32
2024-02-12,1,Dispatch,246,159,159,0,477
2024-02-12,1,Pack,192,185,185,0,555
2024-02-12,1,Pick,248,190,194,4,0
2024-02-12,2,Dispatch,248,185,185,0,555
2024-02-12,2,Pack,186,172,172,0,516
2024-02-12,2,Pick,254,202,202,0,8
2024-02-12,3,Dispatch,241,114,114,0,342
2024-02-12,3,Pack,189,189,209,20,567
2024-02-12,3,Pick,213,177,177,0,0
2024-02-13,1,Dispatch,207,185,185,0,185
2024-02-13,1,Pack,191,190,190,0,190
2024-02-13,1,Pick,258,139,152,13,0
2024-02-13,2,Dispatch,203,172,172,0,172
2024-02-13,2,Pack,233,202,202,0,202
2024-02-13,2,Pick,233,163,163,0,0
2024-02-13,3,Dispatch,204,189,189,0,189
2024-02-13,3,Pack,216,197,197,0,257
2024-02-13,3,Pick,241,140,140,0,0
2024-02-14,1,Dispatch,207,190,190,0,190
2024-02-14,1,Pack,228,139,139,0,139
2024-02-14,1,Pick,266,158,171,13,0
2024-02-14,2,Dispatch,258,202,202,0,202
2024-02-14,2,Pack,220,163,163,0,163
2024-02-14,2,Pick,236,124,124,0,0
2024-02-14,3,Dispatch,223,197,197,0,197
2024-02-14,3,Pack,210,140,140,0,140
2024-02-14,3,Pick,216,135,153,18,0
2024-02-15,1,Dispatch,208,139,139,0,139
2024-02-15,1,Pack,224,158,158,0,158
2024-02-15,1,Pick,249,147,147,0,30
2024-02-15,2,Dispatch,256,163,163,0,163
2024-02-15,2,Pack,222,124,124,0,124
2024-02-15,2,Pick,240,158,167,9,0
2024-02-15,3,Dispatch,256,140,140,0,140
2024-02-15,3,Pack,226,135,135,0,135
2024-02-15,3,Pick,237,189,189,0,18
2024-02-16,1,Dispatch,209,158,158,0,158
2024-02-16,1,Pack,206,147,147,0,147
2024-02-16,1,Pick,225,144,144,0,0
2024-02-16,2,Dispatch,261,124,124,0,124
2024-02-16,2,Pack,204,158,158,0,158
2024-02-16,2,Pick,258,170,179,9,0
2024-02-16,3,Dispatch,252,135,135,0,135
2024-02-16,3,Pack,236,189,189,0,189
2024-02-16,3,Pick,230,152,152,0,0
2024-02-19,1,Dispatch,260,147,147,0,441
2024-02-19,1,Pack,225,144,144,0,432
2024-02-19,1,Pick,238,159,159,0,0
2024-02-19,2,Dispatch,248,158,158,0,474
2024-02-19,2,Pack,203,170,170,0,510
2024-02-19,2,Pick,220,179,188,9,0
2024-02-19,3,Dispatch,252,189,189,0,567
2024-02-19,3,Pack,219,152,152,0,456
2024-02-19,3,Pick,227,149,149,0,0
2024-02-20,1,Dispatch,214,144,144,0,144
2024-02-20,1,Pack,224,159,159,0,159
2024-02-20,1,Pick,217,114,114,0,0
2024-02-20,2,Dispatch,257,170,170,0,170
2024-02-20,2,Pack,203,179,179,0,179
2024-02-20,2,Pick,261,151,164,13,0
2024-02-20,3,Dispatch,206,152,152,0,152
2024-02-20,3,Pack,217,149,149,0,149
2024-02-20,3,Pick,205,190,190,0,0
2024-02-21,1,Dispatch,226,159,159,0,159
2024-02-21,1,Pack,203,114,114,0,114
2024-02-21,1,Pick,243,179,179,0,0
2024-02-21,2,Dispatch,261,179,179,0,179
2024-02-21,2,Pack,236,151,151,0,151
2024-02-21,2,Pick,231,207,207,0,58
2024-02-21,3,Dispatch,256,149,149,0,149
2024-02-21,3,Pack,218,190,190,0,190
2024-02-21,3,Pick,232,147,147,0,0
2024-02-22,1,Dispatch,227,114,114,0,114
2024-02-22,1,Pack,227,179,179,0,179
2024-02-22,1,Pick,218,172,172,0,0
2024-02-22,2,Dispatch,214,151,151,0,151
2024-02-22,2,Pack,209,207,207,0,207
2024-02-22,2,Pick,220,181,181,0,0
2024-02-22,3,Dispatch,221,190,190,0,190
2024-02-22,3,Pack,189,147,147,0,147
2024-02-22,3,Pick,240,156,156,0,0
2024-02-23,1,Dispatch,230,179,179,0,179
2024-02-23,1,Pack,239,172,172,0,172
2024-02-23,1,Pick,218,161,161,0,0
2024-02-23,2,Dispatch,232,207,207,0,207
2024-02-23,2,Pack,227,181,181,0,181
2024-02-23,2,Pick,254,162,162,0,0
2024-02-23,3,Dispatch,239,147,147,0,147
2024-02-23,3,Pack,197,156,156,0,156
2024-02-23,3,Pick,266,174,174,0,0
2024-02-26,1,Dispatch,253,172,172,0,516
2024-02-26,1,Pack,209,161,161,0,483
2024-02-26,1,Pick,264,135,135,0,0
2024-02-26,2,Dispatch,210,181,181,0,543
2024-02-26,2,Pack,199,162,162,0,486
2024-02-26,2,Pick,224,180,180,0,0
2024-02-26,3,Dispatch,248,156,156,0,468
2024-02-26,3,Pack,189,174,174,0,522
2024-02-26,3,Pick,237,176,176,0,0
2024-02-27,1,Dispatch,225,161,161,0,161
2024-02-27,1,Pack,193,135,135,0,135
2024-02-27,1,Pick,264,165,165,0,0
2024-02-27,2,Dispatch,250,162,162,0,162
2024-02-27,2,Pack,207,180,180,0,180
2024-02-27,2,Pick,234,178,181,3,0
2024-02-27,3,Dispatch,243,174,174,0,174
2024-02-27,3,Pack,193,176,176,0,176
2024-02-27,3,Pick,214,117,117,0,0
2024-02-28,1,Dispatch,229,135,135,0,135
2024-02-28,1,Pack,214,165,165,0,165
2024-02-28,1,Pick,262,151,151,0,0
2024-02-28,2,Dispatch,255,180,180,0,180
2024-02-28,2,Pack,186,178,178,0,178
2024-02-28,2,Pick,236,150,150,0,3
2024-02-28,3,Dispatch,243,176,176,0,176
2024-02-28,3,Pack,193,117,117,0,117
2024-02-28,3,Pick,265,142,142,0,0
2024-02-29,1,Dispatch,220,165,165,0,165
2024-02-29,1,Pack,231,151,151,0,151
2024-02-29,1,Pick,227,118,118,0,0
2024-02-29,2,Dispatch,256,178,178,0,178
2024-02-29,2,Pack,198,150,150,0,150
2024-02-29,2,Pick,207,110,110,0,0
2024-02-29,3,Dispatch,253,117,117,0,117
2024-02-29,3,Pack,240,142,142,0,142
2024-02-29,3,Pick,243,159,159,0,0
2024-03-01,1,Dispatch,203,151,151,0,151
2024-03-01,1,Pack,225,118,118,0,118
2024-03-01,1,Pick,213,213,232,19,0
2024-03-01,2,Dispatch,203,150,150,0,150
2024-03-01,2,Pack,203,110,110,0,110
2024-03-01,2,Pick,268,124,132,8,0
2024-03-01,3,Dispatch,200,142,142,0,142
2024-03-01,3,Pack,202,159,159,0,159
2024-03-01,3,Pick,243,169,169,0,0
2024-03-04,1,Dispatch,216,118,118,0,354
2024-03-04,1,Pack,240,213,213,0,639
2024-03-04,1,Pick,268,159,159,0,57
2024-03-04,2,Dispatch,204,110,110,0,330
2024-03-04,2,Pack,188,124,124,0,372
2024-03-04,2,Pick,265,203,203,0,24
2024-03-04,3,Dispatch,259,159,159,0,477
2024-03-04,3,Pack,184,169,169,0,507
2024-03-04,3,Pick,239,155,155,0,0
2024-03-05,1,Dispatch,215,213,213,0,213
2024-03-05,1,Pack,190,159,159,0,159
2024-03-05,1,Pick,232,132,132,0,0
2024-03-05,2,Dispatch,204,124,124,0,124
2024-03-05,2,Pack,185,185,203,18,185
2024-03-05,2,Pick,260,126,126,0,0
2024-03-05,3,Dispatch,210,169,169,0,169
2024-03-05,3,Pack,191,155,155,0,155
2024-03-05,3,Pick,209,136,136,0,0
2024-03-06,1,Dispatch,251,159,159,0,159
2024-03-06,1,Pack,199,132,132,0,132
2024-03-06,1,Pick,233,142,142,0,0
2024-03-06,2,Dispatch,246,185,185,0,185
2024-03-06,2,Pack,190,144,144,0,162
2024-03-06,2,Pick,261,154,154,0,0
2024-03-06,3,Dispatch,259,155,155,0,155
2024-03-06,3,Pack,227,136,136,0,136
2024-03-06,3,Pick,210,155,155,0,0
2024-03-07,1,Dispatch,205,132,132,0,132
2024-03-07,1,Pack,240,142,142,0,142
2024-03-07,1,Pick,221,144,144,0,0
2024-03-07,2,Dispatch,218,144,144,0,144
2024-03-07,2,Pack,213,154,154,0,154
2024-03-07,2,Pick,253,136,136,0,0
2024-03-07,3,Dispatch,223,136,136,0,136
2024-03-07,3,Pack,199,155,155,0,155
2024-03-07,3,Pick,222,178,178,0,0
2024-03-08,1,Dispatch,220,142,142,0,142
2024-03-08,1,Pack,230,144,144,0,144
2024-03-08,1,Pick,261,161,161,0,0
2024-03-08,2,Dispatch,236,154,154,0,154
2024-03-08,2,Pack,188,136,136,0,136
2024-03-08,2,Pick,263,172,172,0,0
2024-03-08,3,Dispatch,258,155,155,0,155
2024-03-08,3,Pack,231,178,178,0,178
2024-03-08,3,Pick,256,138,138,0,0
2024-03-11,1,Dispatch,243,144,144,0,432
2024-03-11,1,Pack,204,161,161,0,483
2024-03-11,1,Pick,215,168,168,0,0
2024-03-11,2,Dispatch,231,136,136,0,408
2024-03-11,2,Pack,232,172,172,0,516
2024-03-11,2,Pick,254,159,159,0,0
2024-03-11,3,Dispatch,228,178,178,0,534
2024-03-11,3,Pack,217,138,138,0,414
2024-03-11,3,Pick,219,124,124,0,0
2024-03-12,1,Dispatch,202,161,161,0,161
2024-03-12,1,Pack,206,168,168,0,168
2024-03-12,1,Pick,260,191,191,0,0
2024-03-12,2,Dispatch,221,172,172,0,172
2024-03-12,2,Pack,215,159,159,0,159
2024-03-12,2,Pick,221,128,133,5,0
2024-03-12,3,Dispatch,218,138,138,0,138
2024-03-12,3,Pack,208,124,124,0,124
2024-03-12,3,Pick,248,145,145,0,0
2024-03-13,1,Dispatch,250,168,168,0,168
2024-03-13,1,Pack,189,189,191,2,189
2024-03-13,1,Pick,268,113,113,0,0
2024-03-13,2,Dispatch,252,159,159,0,159
2024-03-13,2,Pack,186,128,128,0,128
2024-03-13,2,Pick,259,132,137,5,0
2024-03-13,3,Dispatch,263,124,124,0,124
2024-03-13,3,Pack,229,145,145,0,145
2024-03-13,3,Pick,219,176,176,0,0
2024-03-14,1,Dispatch,240,189,189,0,189
2024-03-14,1,Pack,214,115,115,0,117
2024-03-14,1,Pick,242,142,142,0,0
2024-03-14,2,Dispatch,204,128,128,0,128
2024-03-14,2,Pack,202,132,132,0,132
2024-03-14,2,Pick,244,211,216,5,0
2024-03-14,3,Dispatch,236,145,145,0,145
2024-03-14,3,Pack,213,176,176,0,176
2024-03-14,3,Pick,250,109,109,0,0
2024-03-15,1,Dispatch,210,115,115,0,115
2024-03-15,1,Pack,189,142,142,0,142
2024-03-15,1,Pick,264,164,164,0,0
2024-03-15,2,Dispatch,240,132,132,0,132
2024-03-15,2,Pack,188,188,211,23,188
2024-03-15,2,Pick,234,160,186,26,0
2024-03-15,3,Dispatch,261,176,176,0,176
2024-03-15,3,Pack,222,109,109,0,109
2024-03-15,3,Pick,226,118,118,0,0
2024-03-18,1,Dispatch,212,142,142,0,426
2024-03-18,1,Pack,207,164,164,0,492
2024-03-18,1,Pick,235,168,168,0,0
2024-03-18,2,Dispatch,221,188,188,0,564
2024-03-18,2,Pack,206,183,183,0,572
2024-03-18,2,Pick,236,182,182,0,93
2024-03-18,3,Dispatch,229,109,109,0,327
2024-03-18,3,Pack,189,118,118,0,354
2024-03-18,3,Pick,220,173,173,0,0
2024-03-19,1,Dispatch,200,164,164,0,164
2024-03-19,1,Pack,224,168,168,0,168
2024-03-19,1,Pick,215,148,148,0,0
2024-03-19,2,Dispatch,260,183,183,0,183
2024-03-19,2,Pack,206,182,182,0,182
2024-03-19,2,Pick,218,177,211,34,0
2024-03-19,3,Dispatch,204,118,118,0,118
2024-03-19,3,Pack,227,173,173,0,173
2024-03-19,3,Pick,234,164,164,0,0
2024-03-20,1,Dispatch,201,168,168,0,168
2024-03-20,1,Pack,212,148,148,0,148
2024-03-20,1,Pick,229,189,189,0,0
2024-03-20,2,Dispatch,241,182,182,0,182
2024-03-20,2,Pack,207,177,177,0,177
2024-03-20,2,Pick,220,210,217,7,27
2024-03-20,3,Dispatch,233,173,173,0,173
2024-03-20,3,Pack,234,164,164,0,164
2024-03-20,3,Pick,224,177,177,0,0
2024-03-21,1,Dispatch,210,148,148,0,148
2024-03-21,1,Pack,197,189,189,0,189
2024-03-21,1,Pick,230,216,216,0,0
2024-03-21,2,Dispatch,233,177,177,0,177
2024-03-21,2,Pack,216,210,210,0,210
2024-03-21,2,Pick,264,175,182,7,0
2024-03-21,3,Dispatch,249,164,164,0,164
2024-03-21,3,Pack,233,177,177,0,177
2024-03-21,3,Pick,261,104,104,0,0
2024-03-22,1,Dispatch,253,189,189,0,189
2024-03-22,1,Pack,230,216,216,0,216
2024-03-22,1,Pick,257,129,147,18,0
2024-03-22,2,Dispatch,234,210,210,0,210
2024-03-22,2,Pack,188,175,175,0,175
2024-03-22,2,Pick,264,181,188,7,0
2024-03-22,3,Dispatch,239,177,177,0,177
2024-03-22,3,Pack,216,104,104,0,104
2024-03-22,3,Pick,207,166,166,0,0
2024-03-25,1,Dispatch,220,216,216,0,648
2024-03-25,1,Pack,218,129,129,0,387
2024-03-25,1,Pick,211,112,147,35,0
2024-03-25,2,Dispatch,210,175,175,0,525
2024-03-25,2,Pack,211,181,181,0,543
2024-03-25,2,Pick,218,112,112,0,42
2024-03-25,3,Dispatch,210,104,104,0,312
2024-03-25,3,Pack,236,166,166,0,498
2024-03-25,3,Pick,264,162,162,0,0
2024-03-26,1,Dispatch,245,129,129,0,129
2024-03-26,1,Pack,235,112,112,0,112
2024-03-26,1,Pick,220,151,151,0,89
2024-03-26,2,Dispatch,215,181,181,0,181
2024-03-26,2,Pack,226,112,112,0,112
2024-03-26,2,Pick,262,204,204,0,0
2024-03-26,3,Dispatch,263,166,166,0,166
2024-03-26,3,Pack,232,162,162,0,162
2024-03-26,3,Pick,260,155,155,0,0
2024-03-27,1,Dispatch,262,112,112,0,112
2024-03-27,1,Pack,190,151,151,0,151
2024-03-27,1,Pick,221,155,155,0,0
2024-03-27,2,Dispatch,241,112,112,0,112
2024-03-27,2,Pack,212,204,204,0,204
2024-03-27,2,Pick,222,176,176,0,0
2024-03-27,3,Dispatch,217,162,162,0,162
2024-03-27,3,Pack,230,155,155,0,155
2024-03-27,3,Pick,226,189,189,0,0
2024-03-28,1,Dispatch,230,151,151,0,151
2024-03-28,1,Pack,213,155,155,0,155
2024-03-28,1,Pick,204,153,153,0,0
2024-03-28,2,Dispatch,223,204,204,0,204
2024-03-28,2,Pack,236,176,176,0,176
2024-03-28,2,Pick,246,180,180,0,0
2024-03-28,3,Dispatch,204,155,155,0,155
2024-03-28,3,Pack,224,189,189,0,189
2024-03-28,3,Pick,233,121,121,0,0
2024-03-29,1,Dispatch,260,155,155,0,155
2024-03-29,1,Pack,189,153,153,0,153
2024-03-29,1,Pick,228,155,155,0,0
2024-03-29,2,Dispatch,241,176,176,0,176
2024-03-29,2,Pack,189,180,180,0,180
2024-03-29,2,Pick,247,130,130,0,0
2024-03-29,3,Dispatch,208,189,189,0,189
2024-03-29,3,Pack,199,121,121,0,121
2024-03-29,3,Pick,207,125,125,0,0
2024-04-01,1,Dispatch,226,153,153,0,459
