Date,WarehouseID,ProductID,OpeningUnits,ReceivedUnits,ShippedUnits,StorageUnits,WIPUnits,ClosingUnits,ClosingValueUSD,DailyValueSumUSD,CalendarDays,StockoutDays,Age0to30USD,Age31to60USD,Age61to90USD,Age91to180USD,AgeOver180USD
2024-01-31,2,16,157,142,147,138,14,152,3388.08,88402.14,31,0,3076.02,0.0,0.0,0.0,0.0
2024-01-31,2,17,148,190,130,208,0,208,15387.84,174148.92,31,0,14056.2,1331.64,0.0,0.0,0.0
2024-01-31,2,18,198,148,69,274,3,277,12944.21,227481.64,31,0,6916.04,5887.98,0.0,0.0,0.0
2024-01-31,2,19,186,0,69,99,18,117,1595.88,62716.72,31,0,0.0,1350.36,0.0,0.0,0.0
2024-01-31,2,20,220,0,97,123,0,123,7195.5,288580.5,31,0,0.0,0.0,7195.5,0.0,0.0
2024-01-31,2,21,237,0,135,102,0,102,2180.76,109978.72,31,0,0.0,0.0,2180.76,0.0,0.0
2024-01-31,2,22,269,0,75,173,21,194,3637.5,137400.0,31,0,0.0,3243.75,0.0,0.0,0.0
2024-01-31,2,23,237,0,92,137,8,145,11604.35,466814.99,31,0,0.0,0.0,10964.11,0.0,0.0
2024-01-31,2,24,128,164,128,65,99,164,13305.32,122344.04,31,11,5273.45,0.0,0.0,0.0,0.0
2024-01-31,2,25,168,141,100,209,0,209,2737.9,60849.5,31,0,1847.1,0.0,890.8,0.0,0.0
2024-01-31,2,26,213,0,181,32,0,32,1780.16,236594.39,31,0,0.0,0.0,1780.16,0.0,0.0
2024-01-31,2,27,176,0,18,156,2,158,12436.18,389771.92,31,0,0.0,12278.76,0.0,0.0,0.0
2024-01-31,2,28,268,0,207,61,0,61,616.71,48881.85,31,0,0.0,0.0,0.0,616.71,0.0
2024-01-31,2,29,218,0,84,119,15,134,1945.68,73776.12,31,0,0.0,0.0,0.0,1727.88,0.0
2024-01-31,2,30,218,0,135,64,19,83,2485.02,158053.26,31,0,0.0,0.0,0.0,1916.16,0.0
2024-01-31,2,31,257,0,62,195,0,195,4182.75,162183.45,31,0,0.0,0.0,0.0,4182.75,0.0
2024-01-31,2,32,165,140,136,169,0,169,1784.64,39695.04,31,0,1478.4,0.0,0.0,306.24,0.0
2024-01-31,3,1,264,0,129,135,0,135,10439.55,450292.59,31,0,0.0,0.0,10439.55,0.0,0.0
2024-01-31,3,2,181,0,78,78,25,103,6056.4,268186.8,31,0,0.0,0.0,0.0,4586.4,0.0
2024-01-31,3,3,256,0,155,101,0,101,3422.89,190292.35,31,0,0.0,0.0,0.0,3422.89,0.0
2024-01-31,3,4,166,152,84,234,0,234,18294.12,325385.16,31,0,11883.36,0.0,6410.76,0.0,0.0
2024-01-31,3,5,182,0,106,71,5,76,427.12,23334.24,31,0,0.0,0.0,399.02,0.0,0.0
2024-01-31,3,6,217,0,65,131,21,152,1678.08,63756.0,31,0,0.0,0.0,0.0,1446.24,0.0
2024-01-31,3,7,229,0,112,117,0,117,6621.03,265859.82,31,0,0.0,6621.03,0.0,0.0,0.0
2024-01-31,3,8,170,0,155,15,0,15,698.25,167440.35,31,0,0.0,0.0,698.25,0.0,0.0
2024-01-31,3,9,268,0,92,176,0,176,1798.72,69925.24,31,0,0.0,0.0,1798.72,0.0,0.0
2024-01-31,3,10,251,0,107,144,0,144,9148.32,372285.8,31,0,0.0,0.0,0.0,9148.32,0.0
2024-01-31,3,11,256,0,58,177,21,198,10579.14,396236.88,31,0,0.0,0.0,9457.11,0.0,0.0
2024-01-31,3,12,208,0,71,119,18,137,8029.57,321300.02,31,0,0.0,0.0,6974.59,0.0,0.0
2024-01-31,3,13,235,0,62,173,0,173,12663.6,483778.8,31,0,0.0,0.0,0.0,12663.6,0.0
2024-01-31,3,14,238,0,94,114,30,144,8641.44,352918.81,31,0,0.0,0.0,6841.14,0.0,0.0
2024-01-31,3,15,206,0,85,121,0,121,5591.41,238120.13,31,0,0.0,0.0,5591.41,0.0,0.0
2024-01-31,3,16,139,126,62,183,20,203,4524.87,74782.95,31,0,2808.54,0.0,0.0,1270.53,0.0
2024-01-31,3,17,185,153,67,271,0,271,20048.58,378629.64,31,0,11318.94,0.0,0.0,8729.64,0.0
2024-01-31,3,18,174,164,33,305,0,305,14252.65,239771.63,31,0,7663.72,0.0,0.0,6588.93,0.0
2024-01-31,3,19,202,0,118,70,14,84,1145.76,69318.48,31,0,0.0,0.0,954.8,0.0,0.0
2024-01-31,3,20,142,0,71,38,33,71,4153.5,197847.0,31,0,0.0,0.0,0.0,2223.0,0.0
2024-01-31,3,21,191,0,119,53,19,72,1539.36,76861.1,31,0,0.0,1133.14,0.0,0.0,0.0
2024-01-31,3,22,200,0,100,100,0,100,1875.0,91425.0,31,0,0.0,0.0,0.0,1875.0,0.0
2024-01-31,3,23,241,0,128,82,31,113,9043.39,405111.86,31,0,0.0,0.0,0.0,6562.46,0.0
2024-01-31,3,24,136,162,108,187,3,190,15414.7,228867.73,31,0,13143.06,2028.25,0.0,0.0,0.0
2024-01-31,3,25,206,0,156,50,0,50,655.0,50919.7,31,0,0.0,0.0,0.0,655.0,0.0
2024-01-31,3,26,171,0,65,93,13,106,5896.78,243325.62,31,0,0.0,0.0,5173.59,0.0,0.0
2024-01-31,3,27,146,144,126,147,17,164,12908.44,310825.79,31,0,11334.24,0.0,0.0,236.13,0.0
2024-01-31,3,28,236,0,129,107,0,107,1081.77,55453.35,31,0,0.0,0.0,0.0,1081.77,0.0
2024-01-31,3,29,201,0,108,93,0,93,1350.36,62421.48,31,0,0.0,0.0,1350.36,0.0,0.0
2024-01-31,3,30,213,0,122,91,0,91,2724.54,148232.94,31,0,0.0,0.0,2724.54,0.0,0.0
2024-01-31,3,31,201,156,154,203,0,203,4354.35,102938.55,31,0,3346.2,0.0,1008.15,0.0,0.0
2024-01-31,3,32,131,0,44,80,7,87,918.72,34362.24,31,0,0.0,844.8,0.0,0.0,0.0
2024-02-29,1,1,130,169,185,114,0,114,8815.62,263849.96,29,3,8815.62,0.0,0.0,0.0,0.0
2024-02-29,1,2,215,0,93,118,4,122,7173.6,283768.8,29,0,0.0,6938.4,0.0,0.0,0.0
2024-02-29,1,3,265,0,92,147,26,173,5862.97,221437.26,29,0,0.0,4914.05,0.0,67.78,0.0
2024-02-29,1,4,151,0,102,49,0,49,3830.82,261668.46,29,0,0.0,3830.82,0.0,0.0,0.0
2024-02-29,1,5,179,0,84,95,0,95,533.9,22047.26,29,0,0.0,533.9,0.0,0.0,0.0
2024-02-29,1,6,92,143,92,125,18,143,1578.72,52605.6,29,0,1380.0,0.0,0.0,0.0,0.0
2024-02-29,1,7,130,141,78,188,5,193,10921.87,185275.66,29,0,7979.19,0.0,0.0,2659.73,0.0
2024-02-29,1,8,203,0,146,57,0,57,2653.35,185175.9,29,0,0.0,2653.35,0.0,0.0,0.0
2024-02-29,1,9,59,151,71,139,0,139,1420.58,44661.4,29,0,1420.58,0.0,0.0,0.0,0.0
2024-02-29,1,10,225,0,83,120,22,142,9021.26,339440.79,29,0,0.0,0.0,0.0,7623.6,0.0
2024-02-29,1,11,151,0,14,113,24,137,7319.91,226703.49,29,0,0.0,0.0,6037.59,0.0,0.0
2024-02-29,1,12,108,148,165,91,0,91,5333.51,198394.85,29,0,5333.51,0.0,0.0,0.0,0.0
2024-02-29,1,13,145,146,173,118,0,118,8637.6,278013.6,29,0,8637.6,0.0,0.0,0.0,0.0
2024-02-29,1,14,71,158,129,87,13,100,6001.0,291168.52,29,0,5220.87,0.0,0.0,0.0,0.0
2024-02-29,1,15,143,0,60,83,0,83,3835.43,144591.09,29,0,0.0,0.0,3835.43,0.0,0.0
2024-02-29,1,16,96,122,172,46,0,46,1025.34,64128.33,29,0,1025.34,0.0,0.0,0.0,0.0
2024-02-29,1,17,122,145,70,192,5,197,14574.06,311973.66,29,0,10727.1,0.0,0.0,3477.06,0.0
2024-02-29,1,18,68,159,66,157,4,161,7523.53,243977.33,29,0,7336.61,0.0,0.0,0.0,0.0
2024-02-29,1,19,119,142,132,101,28,129,1759.56,48476.56,29,0,1377.64,0.0,0.0,0.0,0.0
2024-02-29,1,20,83,154,81,156,0,156,9126.0,212998.5,29,0,9009.0,0.0,117.0,0.0,0.0
2024-02-29,1,21,151,149,121,171,8,179,3827.02,92725.06,29,0,3185.62,0.0,470.36,0.0,0.0
2024-02-29,1,22,193,0,46,138,9,147,2756.25,95118.75,29,0,0.0,2587.5,0.0,0.0,0.0
2024-02-29,1,23,104,148,68,163,21,184,14725.52,406232.28,29,0,11844.44,0.0,0.0,1200.45,0.0
2024-02-29,1,24,262,0,90,172,0,172,13954.36,524829.97,29,0,10384.64,0.0,0.0,3569.72,0.0
2024-02-29,1,25,158,0,44,105,9,114,1493.4,49098.8,29,0,0.0,1375.5,0.0,0.0,0.0
2024-02-29,1,26,101,141,56,186,0,186,10347.18,227916.11,29,0,7843.83,0.0,2503.35,0.0,0.0
2024-02-29,1,27,113,141,105,149,0,149,11727.79,264701.73,29,0,11098.11,0.0,0.0,629.68,0.0
2024-02-29,1,28,105,147,137,106,9,115,1162.65,37882.17,29,0,1071.66,0.0,0.0,0.0,0.0
2024-02-29,1,29,156,0,124,22,10,32,464.64,40176.84,29,0,0.0,0.0,319.44,0.0,0.0
2024-02-29,1,30,163,0,84,72,7,79,2365.26,103023.54,29,0,0.0,0.0,0.0,2155.68,0.0
2024-02-29,1,31,64,154,100,90,28,118,2531.1,65036.4,29,0,1930.5,0.0,0.0,0.0,0.0
2024-02-29,1,32,66,128,126,49,19,68,718.08,26579.52,29,0,517.44,0.0,0.0,0.0,0.0
2024-02-29,2,1,119,142,116,137,8,145,11212.85,286584.98,29,0,10594.21,0.0,0.0,0.0,0.0
2024-02-29,2,2,121,144,98,163,4,167,9819.6,344038.8,29,0,8467.2,0.0,0.0,1117.2,0.0
2024-02-29,2,3,202,0,73,122,7,129,4371.81,151657.75,29,0,0.0,4134.58,0.0,0.0,0.0
2024-02-29,2,4,103,145,125,123,0,123,9616.14,295051.32,29,0,9616.14,0.0,0.0,0.0,0.0
2024-02-29,2,5,175,0,84,91,0,91,511.42,21356.0,29,0,0.0,0.0,0.0,511.42,0.0
2024-02-29,2,6,125,147,131,134,7,141,1556.64,47604.48,29,0,1479.36,0.0,0.0,0.0,0.0
2024-02-29,2,7,44,288,114,208,10,218,12336.62,124158.46,29,0,11770.72,0.0,0.0,0.0,0.0
2024-02-29,2,8,126,126,80,172,0,172,8006.6,152590.9,29,0,5865.3,2141.3,0.0,0.0,0.0
2024-02-29,2,9,134,170,143,155,6,161,1645.42,41155.94,29,0,1584.1,0.0,0.0,0.0,0.0
2024-02-29,2,10,95,152,145,85,17,102,6480.06,113591.64,29,4,5400.05,0.0,0.0,0.0,0.0
2024-02-29,2,11,121,0,60,40,21,61,3259.23,151901.49,29,0,0.0,0.0,0.0,2137.2,0.0
2024-02-29,2,12,158,0,122,36,0,36,2109.96,204607.51,29,0,0.0,0.0,0.0,2109.96,0.0
2024-02-29,2,13,200,0,106,91,3,94,6880.8,267326.4,29,0,0.0,0.0,0.0,6661.2,0.0
2024-02-29,2,14,127,162,122,159,8,167,10021.67,222457.07,29,0,9541.59,0.0,0.0,0.0,0.0
2024-02-29,2,15,77,152,78,151,0,151,6977.71,217972.57,29,0,6977.71,0.0,0.0,0.0,0.0
2024-02-29,2,16,152,0,38,114,0,114,2541.06,83587.5,29,0,0.0,2541.06,0.0,0.0,0.0
2024-02-29,2,17,208,0,97,100,11,111,8211.78,343933.02,29,0,7398.0,0.0,0.0,0.0,0.0
2024-02-29,2,18,277,0,181,84,12,96,4486.08,282716.5,29,0,3925.32,0.0,0.0,0.0,0.0
2024-02-29,2,19,117,142,94,130,35,165,2250.6,53550.64,29,0,1773.2,0.0,0.0,0.0,0.0
2024-02-29,2,20,123,141,57,207,0,207,12109.5,362700.0,29,0,8248.5,0.0,0.0,3861.0,0.0
2024-02-29,2,21,102,150,13,227,12,239,5109.82,138328.6,29,0,3207.0,0.0,0.0,1646.26,0.0
2024-02-29,2,22,194,0,58,116,20,136,2550.0,82031.25,29,0,0.0,0.0,2175.0,0.0,0.0
2024-02-29,2,23,145,151,112,170,14,184,14725.52,429040.83,29,0,12084.53,0.0,0.0,1520.57,0.0
2024-02-29,2,24,164,128,251,38,3,41,3326.33,184814.14,29,0,3082.94,0.0,0.0,0.0,0.0
2024-02-29,2,25,209,0,166,28,15,43,563.3,49203.6,29,0,0.0,366.8,0.0,0.0,0.0
2024-02-29,2,26,32,154,127,59,0,59,3282.17,196818.94,29,0,3282.17,0.0,0.0,0.0,0.0
2024-02-29,2,27,158,143,139,145,17,162,12751.02,297602.51,29,0,11255.53,0.0,157.42,0.0,0.0
2024-02-29,2,28,61,173,117,117,0,117,1182.87,53057.28,29,0,1182.87,0.0,0.0,0.0,0.0
2024-02-29,2,29,134,156,147,128,15,143,2076.36,69942.84,29,0,1858.56,0.0,0.0,0.0,0.0
2024-02-29,2,30,83,141,131,81,12,93,2784.42,84670.32,29,2,2425.14,0.0,0.0,0.0,0.0
2024-02-29,2,31,195,0,103,92,0,92,1973.4,96289.05,29,0,0.0,0.0,0.0,1973.4,0.0
2024-02-29,2,32,169,138,169,135,3,138,1457.28,34710.72,29,1,1425.6,0.0,0.0,0.0,0.0
2024-02-29,3,1,135,0,22,107,6,113,8738.29,272897.57,29,0,0.0,0.0,0.0,8274.31,0.0
2024-02-29,3,2,103,148,65,186,0,186,10936.8,330220.8,29,0,8702.4,0.0,0.0,2234.4,0.0
2024-02-29,3,3,101,144,196,49,0,49,1660.61,106075.7,29,0,1660.61,0.0,0.0,0.0,0.0
2024-02-29,3,4,234,0,102,132,0,132,10319.76,454773.06,29,0,0.0,10319.76,0.0,0.0,0.0
2024-02-29,3,5,76,156,122,90,20,110,618.2,26037.46,29,0,505.8,0.0,0.0,0.0,0.0
2024-02-29,3,6,152,148,110,181,9,190,2097.6,46809.6,29,0,1633.92,0.0,0.0,364.32,0.0
2024-02-29,3,7,117,0,25,71,21,92,5206.28,171920.42,29,0,0.0,0.0,4017.89,0.0,0.0
2024-02-29,3,8,15,282,101,183,13,196,9123.8,137555.25,29,0,8518.65,0.0,0.0,0.0,0.0
2024-02-29,3,9,176,0,40,136,0,136,1389.92,47349.26,29,0,0.0,0.0,0.0,1389.92,0.0
2024-02-29,3,10,144,145,126,143,20,163,10355.39,206599.56,29,0,9084.79,0.0,0.0,0.0,0.0
2024-02-29,3,11,198,0,120,41,37,78,4167.54,228466.68,29,0,0.0,0.0,0.0,2190.63,0.0
2024-02-29,3,12,137,145,217,65,0,65,3809.65,169969.0,29,1,3809.65,0.0,0.0,0.0,0.0
2024-02-29,3,13,173,0,52,121,0,121,8857.2,346016.4,29,0,0.0,0.0,0.0,8857.2,0.0
2024-02-29,3,14,144,152,93,186,17,203,12182.03,265424.23,29,0,9121.52,0.0,0.0,2040.34,0.0
2024-02-29,3,15,121,160,114,158,9,167,7717.07,160810.8,29,0,7301.18,0.0,0.0,0.0,0.0
2024-02-29,3,16,203,0,96,107,0,107,2385.03,100773.09,29,0,0.0,2385.03,0.0,0.0,0.0
2024-02-29,3,17,271,0,69,199,3,202,14943.96,526145.76,29,0,11318.94,0.0,0.0,3403.08,0.0
2024-02-29,3,18,305,0,103,202,0,202,9439.46,333418.55,29,0,7663.72,0.0,0.0,1775.74,0.0
2024-02-29,3,19,84,292,174,179,23,202,2755.28,53168.72,29,0,2441.56,0.0,0.0,0.0,0.0
2024-02-29,3,20,71,196,78,189,0,189,11056.5,250029.0,29,0,11056.5,0.0,0.0,0.0,0.0
2024-02-29,3,21,72,166,62,143,33,176,3762.88,88769.76,29,0,3057.34,0.0,0.0,0.0,0.0
2024-02-29,3,22,100,148,70,150,28,178,3337.5,76725.0,29,0,2775.0,0.0,0.0,37.5,0.0
2024-02-29,3,23,113,164,155,115,7,122,9763.66,266659.96,29,0,9203.45,0.0,0.0,0.0,0.0
2024-02-29,3,24,190,0,84,86,20,106,8599.78,378390.32,29,0,6977.18,0.0,0.0,0.0,0.0
2024-02-29,3,25,50,291,133,203,5,208,2724.8,49242.9,29,0,2659.3,0.0,0.0,0.0,0.0
2024-02-29,3,26,106,154,105,155,0,155,8622.65,179351.12,29,0,8567.02,0.0,0.0,55.63,0.0
2024-02-29,3,27,164,0,72,92,0,92,7241.32,269030.78,29,0,0.0,7241.32,0.0,0.0,0.0
2024-02-29,3,28,107,147,72,182,0,182,1840.02,47041.83,29,0,1486.17,0.0,0.0,353.85,0.0
2024-02-29,3,29,93,148,79,162,0,162,2352.24,36938.88,29,0,2148.96,0.0,0.0,203.28,0.0
2024-02-29,3,30,91,158,118,121,10,131,3922.14,88293.06,29,0,3622.74,0.0,0.0,0.0,0.0
2024-02-29,3,31,203,0,64,139,0,139,2981.55,104718.9,29,0,0.0,2981.55,0.0,0.0,0.0
2024-02-29,3,32,87,130,163,34,20,54,570.24,26875.2,29,3,359.04,0.0,0.0,0.0,0.0
2024-03-31,1,1,114,160,149,119,6,125,9666.25,235624.51,31,2,9202.27,0.0,0.0,0.0,0.0
2024-03-31,1,2,122,143,125,111,29,140,8232.0,251017.2,31,0,6526.8,0.0,0.0,0.0,0.0
2024-03-31,1,3,173,0,157,6,10,16,542.24,63001.51,31,0,0.0,0.0,203.34,0.0,0.0
2024-03-31,1,4,49,295,162,182,0,182,14228.76,297787.62,31,0,14228.76,0.0,0.0,0.0,0.0
2024-03-31,1,5,95,151,127,119,0,119,668.78,33624.46,31,0,668.78,0.0,0.0,0.0,0.0
2024-03-31,1,6,143,154,140,152,5,157,1733.28,45782.88,31,0,1678.08,0.0,0.0,0.0,0.0
2024-03-31,1,7,193,0,36,152,5,157,8884.63,315206.3,31,0,0.0,7979.19,0.0,622.49,0.0
2024-03-31,1,8,57,266,115,196,12,208,9682.4,172048.8,31,0,9123.8,0.0,0.0,0.0,0.0
2024-03-31,1,9,139,149,136,152,0,152,1553.44,39725.14,31,0,1522.78,30.66,0.0,0.0,0.0
2024-03-31,1,10,142,153,108,179,8,187,11880.11,255708.25,31,0,9720.09,0.0,0.0,1651.78,0.0
2024-03-31,1,11,137,143,141,130,9,139,7426.77,223711.41,31,0,6945.9,0.0,0.0,0.0,0.0
2024-03-31,1,12,91,163,73,154,27,181,10608.41,278514.72,31,0,9025.94,0.0,0.0,0.0,0.0
2024-03-31,1,13,118,154,111,161,0,161,11785.2,273036.0,31,0,11272.8,512.4,0.0,0.0,0.0
2024-03-31,1,14,100,142,120,116,6,122,7321.22,290748.45,31,0,6961.16,0.0,0.0,0.0,0.0
2024-03-31,1,15,83,146,40,189,0,189,8733.69,261178.92,31,0,6746.66,0.0,0.0,1987.03,0.0
2024-03-31,1,16,46,138,39,135,10,145,3232.05,103403.31,31,0,3009.15,0.0,0.0,0.0,0.0
2024-03-31,1,17,197,141,60,278,0,278,20566.44,467627.58,31,0,10431.18,10135.26,0.0,0.0,0.0
2024-03-31,1,18,161,149,59,239,12,251,11729.23,328839.01,31,0,6962.77,4205.7,0.0,0.0,0.0
2024-03-31,1,19,129,145,96,157,21,178,2427.92,43075.12,31,0,1977.8,163.68,0.0,0.0,0.0
2024-03-31,1,20,156,153,114,195,0,195,11407.5,283257.0,31,0,8950.5,2457.0,0.0,0.0,0.0
2024-03-31,1,21,179,159,56,254,28,282,6029.16,117162.4,31,0,3399.42,2031.1,0.0,0.0,0.0
2024-03-31,1,22,147,0,9,138,0,138,2587.5,80212.5,31,0,0.0,0.0,2587.5,0.0,0.0
2024-03-31,1,23,184,143,102,215,10,225,18006.75,397909.16,31,0,11444.29,5762.16,0.0,0.0,0.0
2024-03-31,1,24,172,0,155,17,0,17,1379.21,237792.03,31,0,0.0,1379.21,0.0,0.0,0.0
2024-03-31,1,25,114,151,187,78,0,78,1021.8,47382.7,31,0,1021.8,0.0,0.0,0.0,0.0
2024-03-31,1,26,186,0,46,97,43,140,7788.2,293615.14,31,0,0.0,5396.11,0.0,0.0,0.0
2024-03-31,1,27,149,150,81,218,0,218,17158.78,319247.76,31,0,11806.5,5352.28,0.0,0.0,0.0
2024-03-31,1,28,115,147,65,176,21,197,1991.67,34141.47,31,0,1486.17,293.19,0.0,0.0,0.0
2024-03-31,1,29,32,180,100,103,9,112,1626.24,68766.72,31,0,1495.56,0.0,0.0,0.0,0.0
2024-03-31,1,30,79,145,102,122,0,122,3652.68,160568.22,31,0,3652.68,0.0,0.0,0.0,0.0
2024-03-31,1,31,118,160,141,122,15,137,2938.65,91763.1,31,0,2616.9,0.0,0.0,0.0,0.0
2024-03-31,1,32,68,126,114,58,22,80,844.8,37889.28,31,0,612.48,0.0,0.0,0.0,0.0
2024-03-31,2,1,145,157,207,89,6,95,7346.35,176080.41,31,4,6882.37,0.0,0.0,0.0,0.0
2024-03-31,2,2,167,0,74,89,4,93,5468.4,238375.2,31,0,0.0,5233.2,0.0,0.0,0.0
2024-03-31,2,3,129,143,39,196,37,233,7896.37,176329.67,31,0,4846.27,0.0,1796.17,0.0,0.0
2024-03-31,2,4,123,148,43,206,22,228,17825.04,356657.16,31,0,11570.64,4534.44,0.0,0.0,0.0
2024-03-31,2,5,91,148,97,114,28,142,798.04,28959.86,31,0,640.68,0.0,0.0,0.0,0.0
2024-03-31,2,6,141,151,80,212,0,212,2340.48,51424.32,31,0,1667.04,673.44,0.0,0.0,0.0
2024-03-31,2,7,218,0,64,154,0,154,8714.86,307000.75,31,0,0.0,8714.86,0.0,0.0,0.0
2024-03-31,2,8,172,0,104,52,16,68,3165.4,173724.6,31,0,0.0,2420.6,0.0,0.0,0.0
2024-03-31,2,9,161,0,71,90,0,90,919.8,42147.28,31,0,0.0,919.8,0.0,0.0,0.0
2024-03-31,2,10,102,149,58,162,31,193,12261.29,327751.27,31,0,9465.97,825.89,0.0,0.0,0.0
2024-03-31,2,11,61,150,122,89,0,89,4755.27,104081.64,31,1,4755.27,0.0,0.0,0.0,0.0
2024-03-31,2,12,36,151,119,68,0,68,3985.48,254894.89,31,0,3985.48,0.0,0.0,0.0,0.0
